o,t,c,ch,h,l,mb,mv,ra,se,va,vo
24700,1673880317000000000,24150,-350,24800,24150,UNKNOWN,144600,-1.43,1048,49234850000,2009800
24700,1673879416000000000,24300,-200,24800,24200,BID,500,-0.82,1047,49222700000,2009300
24700,1673879396000000000,24300,-200,24800,24200,BID,500,-0.82,1046,49210550000,2008800
24700,1673879377000000000,24300,-200,24800,24200,BID,100,-0.82,1045,49208120000,2008700
24700,1673879377000000000,24300,-200,24800,24200,BID,400,-0.82,1045,49198400000,2008300
24700,1673879375000000000,24350,-150,24800,24200,ASK,200,-0.61,1043,49193530000,2008100
24700,1673879371000000000,24350,-150,24800,24200,ASK,500,-0.61,1042,49181355000,2007600
24700,1673879361000000000,24350,-150,24800,24200,ASK,1000,-0.61,1041,49157005000,2006600
24700,1673879361000000000,24350,-150,24800,24200,ASK,1000,-0.61,1041,49132655000,2005600
24700,1673879359000000000,24350,-150,24800,24200,ASK,1000,-0.61,1039,49108305000,2004600
24700,1673879326000000000,24350,-150,24800,24200,ASK,200,-0.61,1038,49103435000,2004400
24700,1673879319000000000,24350,-150,24800,24200,ASK,100,-0.61,1037,49101000000,2004300
24700,1673879293000000000,24300,-200,24800,24200,ASK,500,-0.82,1036,49088850000,2003800
24700,1673879293000000000,24300,-200,24800,24200,ASK,100,-0.82,1036,49086420000,2003700
24700,1673879286000000000,24300,-200,24800,24200,ASK,300,-0.82,1034,49079130000,2003400
24700,1673879286000000000,24300,-200,24800,24200,ASK,500,-0.82,1033,49057260000,2002500
24700,1673879286000000000,24300,-200,24800,24200,ASK,400,-0.82,1033,49069410000,2003000
24700,1673879286000000000,24300,-200,24800,24200,ASK,100,-0.82,1031,49054830000,2002400
24700,1673879249000000000,24300,-200,24800,24200,ASK,600,-0.82,1030,49032960000,2001500
24700,1673879249000000000,24300,-200,24800,24200,ASK,300,-0.82,1030,49047540000,2002100
24700,1673879230000000000,24300,-200,24800,24200,ASK,200,-0.82,1028,49028100000,2001300
24700,1673879228000000000,24300,-200,24800,24200,ASK,200,-0.82,1027,49023240000,2001100
24700,1673879228000000000,24300,-200,24800,24200,ASK,200,-0.82,1027,49018380000,2000900
24700,1673879228000000000,24300,-200,24800,24200,ASK,100,-0.82,1025,49015950000,2000800
24700,1673879213000000000,24300,-200,24800,24200,ASK,400,-0.82,1024,49006230000,2000400
24700,1673879211000000000,24300,-200,24800,24200,ASK,4200,-0.82,1023,48904170000,1996200
24700,1673879190000000000,24300,-200,24800,24200,ASK,700,-0.82,1022,48879870000,1995200
24700,1673879190000000000,24300,-200,24800,24200,ASK,300,-0.82,1022,48896880000,1995900
24700,1673879178000000000,24300,-200,24800,24200,ASK,300,-0.82,1020,48872580000,1994900
24700,1673879178000000000,24300,-200,24800,24200,ASK,1000,-0.82,1020,48393870000,1975200
24700,1673879178000000000,24300,-200,24800,24200,ASK,18400,-0.82,1020,48425460000,1976500
24700,1673879178000000000,24300,-200,24800,24200,ASK,300,-0.82,1020,48418170000,1976200
24700,1673879159000000000,24250,-250,24800,24200,ASK,200,-1.02,1016,48389020000,1975000
24700,1673879158000000000,24250,-250,24800,24200,ASK,100,-1.02,1015,48386595000,1974900
24700,1673879155000000000,24250,-250,24800,24200,ASK,200,-1.02,1014,48381745000,1974700
24700,1673879147000000000,24250,-250,24800,24200,ASK,500,-1.02,1013,48369620000,1974200
24700,1673879131000000000,24250,-250,24800,24200,ASK,500,-1.02,1012,48357495000,1973700
24700,1673879129000000000,24250,-250,24800,24200,ASK,100,-1.02,1011,48355070000,1973600
24700,1673879119000000000,24250,-250,24800,24200,ASK,100,-1.02,1010,48352645000,1973500
24700,1673879105000000000,24200,-300,24800,24200,BID,100,-1.22,1009,48350225000,1973400
24700,1673879105000000000,24200,-300,24800,24200,BID,800,-1.22,1009,48326025000,1972400
24700,1673879105000000000,24200,-300,24800,24200,BID,200,-1.22,1008,48345385000,1973200
24700,1673879103000000000,24250,-250,24800,24200,ASK,100,-1.02,1006,48323600000,1972300
24700,1673879089000000000,24250,-250,24800,24200,ASK,100,-1.02,1005,48321175000,1972200
24700,1673879074000000000,24250,-250,24800,24200,ASK,100,-1.02,1004,48122325000,1964000
24700,1673879074000000000,24250,-250,24800,24200,ASK,100,-1.02,1004,48119900000,1963900
24700,1673879074000000000,24250,-250,24800,24200,ASK,8100,-1.02,1004,48124750000,1964100
24700,1673879074000000000,24250,-250,24800,24200,ASK,1700,-1.02,1001,48078675000,1962200
24700,1673879072000000000,24250,-250,24800,24200,ASK,100,-1.02,1000,48076250000,1962100
24700,1673879057000000000,24250,-250,24800,24200,ASK,1000,-1.02,999,48052000000,1961100
24700,1673879051000000000,24250,-250,24800,24200,ASK,2900,-1.02,998,47981675000,1958200
24700,1673879044000000000,24250,-250,24800,24200,ASK,100,-1.02,997,47979250000,1958100
24700,1673879020000000000,24200,-300,24800,24200,BID,200,-1.22,996,47974410000,1957900
24700,1673879018000000000,24250,-250,24800,24200,ASK,100,-1.02,995,47971985000,1957800
24700,1673879011000000000,24200,-300,24800,24200,BID,2000,-1.22,994,47923585000,1955800
24700,1673879011000000000,24200,-300,24800,24200,BID,2000,-1.22,994,47875185000,1953800
24700,1673879011000000000,24200,-300,24800,24200,BID,100,-1.22,994,47865505000,1953400
24700,1673879011000000000,24200,-300,24800,24200,BID,300,-1.22,993,47867925000,1953500
24700,1673879011000000000,24200,-300,24800,24200,BID,400,-1.22,993,47850985000,1952800
24700,1673879011000000000,24200,-300,24800,24200,BID,200,-1.22,993,47860665000,1953200
24700,1673879002000000000,24200,-300,24800,24200,BID,2500,-1.22,988,47790485000,1950300
24700,1673878979000000000,24200,-300,24800,24200,BID,300,-1.22,987,47783225000,1950000
24700,1673878977000000000,24200,-300,24800,24200,BID,200,-1.22,986,47778385000,1949800
24700,1673878974000000000,24200,-300,24800,24200,BID,3300,-1.22,985,47657385000,1944800
24700,1673878974000000000,24200,-300,24800,24200,BID,1700,-1.22,985,47737245000,1948100
24700,1673878968000000000,24200,-300,24800,24200,BID,1000,-1.22,983,47633185000,1943800
24700,1673878950000000000,24200,-300,24800,24200,BID,2800,-1.22,982,47565425000,1941000
24700,1673878950000000000,24200,-300,24800,24200,BID,300,-1.22,982,47558165000,1940700
24700,1673878950000000000,24200,-300,24800,24200,BID,200,-1.22,980,47553325000,1940500
24700,1673878950000000000,24200,-300,24800,24200,BID,100,-1.22,980,47550905000,1940400
24700,1673878950000000000,24200,-300,24800,24200,BID,100,-1.22,978,47533965000,1939700
24700,1673878950000000000,24200,-300,24800,24200,BID,600,-1.22,979,47536385000,1939800
24700,1673878950000000000,24200,-300,24800,24200,BID,200,-1.22,977,47529125000,1939500
24700,1673878950000000000,24200,-300,24800,24200,BID,500,-1.22,975,47391185000,1933800
24700,1673878950000000000,24200,-300,24800,24200,BID,5000,-1.22,976,47405705000,1934400
24700,1673878950000000000,24200,-300,24800,24200,BID,100,-1.22,974,47403285000,1934300
24700,1673878950000000000,24200,-300,24800,24200,BID,100,-1.22,975,47526705000,1939400
24700,1673878950000000000,24200,-300,24800,24200,BID,200,-1.22,972,47381505000,1933400
24700,1673878950000000000,24200,-300,24800,24200,BID,200,-1.22,972,47386345000,1933600
