o,t,c,ch,h,l,mb,mv,ra,se,va,vo
41600,1673880319000000000,41800,350,42200,41600,UNKNOWN,59100,0.84,1497,65781800000,1570900
41600,1673879412000000000,41700,250,42200,41600,BID,5400,0.6,1496,65556620000,1565500
41600,1673879412000000000,41700,250,42200,41600,BID,100,0.6,1496,65552450000,1565400
41600,1673879405000000000,41750,300,42200,41600,ASK,200,0.72,1494,65544100000,1565200
41600,1673879397000000000,41750,300,42200,41600,ASK,200,0.72,1493,65535750000,1565000
41600,1673879377000000000,41800,350,42200,41600,ASK,2000,0.84,1492,65452150000,1563000
41600,1673879363000000000,41750,300,42200,41600,BID,400,0.72,1491,65435450000,1562600
41600,1673879358000000000,41750,300,42200,41600,BID,100,0.72,1490,65431275000,1562500
41600,1673879356000000000,41750,300,42200,41600,BID,400,0.72,1489,65414575000,1562100
41600,1673879351000000000,41750,300,42200,41600,BID,100,0.72,1488,65410400000,1562000
41600,1673879349000000000,41800,350,42200,41600,ASK,200,0.84,1487,65402040000,1561800
41600,1673879297000000000,41800,350,42200,41600,ASK,1500,0.84,1486,65339340000,1560300
41600,1673879297000000000,41800,350,42200,41600,ASK,1500,0.84,1486,65276640000,1558800
41600,1673879283000000000,41700,250,42200,41600,BID,200,0.6,1484,65268300000,1558600
41600,1673879283000000000,41700,250,42200,41600,BID,500,0.6,1484,65247450000,1558100
41600,1673879282000000000,41750,300,42200,41600,ASK,400,0.72,1482,65230750000,1557700
41600,1673879282000000000,41750,300,42200,41600,ASK,4000,0.72,1481,65022000000,1552700
41600,1673879282000000000,41750,300,42200,41600,ASK,500,0.72,1481,65209875000,1557200
41600,1673879282000000000,41750,300,42200,41600,ASK,500,0.72,1481,65189000000,1556700
41600,1673879282000000000,41750,300,42200,41600,ASK,2600,0.72,1481,64913450000,1550100
41600,1673879281000000000,41750,300,42200,41600,ASK,200,0.72,1477,64905100000,1549900
41600,1673879262000000000,41700,250,42200,41600,BID,2500,0.6,1476,64696600000,1544900
41600,1673879262000000000,41700,250,42200,41600,BID,2500,0.6,1476,64800850000,1547400
41600,1673879246000000000,41700,250,42200,41600,BID,300,0.6,1474,64684090000,1544600
