o,t,c,ch,h,l,mb,mv,ra,se,va,vo
49400,1673880317000000000,48900,-200,49500,48850,UNKNOWN,17500,-0.41,625,13583350000,276200
49400,1673879414000000000,48900,-200,49500,48850,ASK,100,-0.41,624,13578460000,276100
49400,1673879399000000000,48900,-200,49500,48850,ASK,1000,-0.41,623,13529560000,275100
49400,1673879398000000000,48900,-200,49500,48850,ASK,100,-0.41,622,13524670000,275000
49400,1673879384000000000,48950,-150,49500,48850,BID,300,-0.31,621,13421965000,272900
49400,1673879384000000000,48900,-200,49500,48850,BID,800,-0.41,621,13436650000,273200
49400,1673879384000000000,48900,-200,49500,48850,BID,1000,-0.41,621,13475770000,274000
49400,1673879367000000000,48950,-150,49500,48850,ASK,100,-0.31,618,13417070000,272800
49400,1673879367000000000,48950,-150,49500,48850,ASK,100,-0.31,618,13412175000,272700
49400,1673879363000000000,48900,-200,49500,48850,BID,100,-0.41,616,13407285000,272600
49400,1673879341000000000,48950,-150,49500,48850,ASK,100,-0.31,615,13402390000,272500
49400,1673879341000000000,48950,-150,49500,48850,ASK,100,-0.31,614,13397495000,272400
49400,1673879338000000000,48900,-200,49500,48850,BID,100,-0.41,613,13392605000,272300
49400,1673879306000000000,48950,-150,49500,48850,ASK,1000,-0.31,612,13343655000,271300
49400,1673879302000000000,48950,-150,49500,48850,ASK,100,-0.31,611,13338760000,271200
49400,1673879290000000000,48950,-150,49500,48850,ASK,100,-0.31,610,13333865000,271100
49400,1673879270000000000,48950,-150,49500,48850,ASK,100,-0.31,609,13328970000,271000
49400,1673879269000000000,48950,-150,49500,48850,BID,100,-0.31,608,13324075000,270900
49400,1673879263000000000,49000,-100,49500,48850,ASK,100,-0.2,607,13319175000,270800
49400,1673879256000000000,48950,-150,49500,48850,ASK,200,-0.31,606,13299595000,270400
49400,1673879256000000000,48950,-150,49500,48850,ASK,200,-0.31,606,13309385000,270600
49400,1673879231000000000,48950,-150,49500,48850,ASK,100,-0.31,604,13294700000,270300
49400,1673879224000000000,48950,-150,49500,48850,ASK,100,-0.31,603,13289805000,270200
49400,1673879185000000000,48950,-150,49500,48850,ASK,100,-0.31,602,13284910000,270100
49400,1673879146000000000,49000,-100,49500,48850,ASK,100,-0.2,601,13280010000,270000
49400,1673879139000000000,49000,-100,49500,48850,ASK,100,-0.2,600,13275110000,269900
49400,1673879136000000000,48850,-250,49500,48850,BID,100,-0.51,599,13270225000,269800
49400,1673879120000000000,49000,-100,49500,48850,ASK,100,-0.2,598,13265325000,269700
49400,1673879107000000000,49000,-100,49500,48850,ASK,100,-0.2,597,13260425000,269600
49400,1673879072000000000,48950,-150,49500,48850,ASK,100,-0.31,596,13255530000,269500
49400,1673879068000000000,48950,-150,49500,48850,ASK,100,-0.31,595,13250635000,269400
