o,t,c,ch,h,l,mb,mv,ra,se,va,vo
29050,1673880318000000000,29100,200,29200,28400,UNKNOWN,509400,0.69,1393,71399055000,2465000
29050,1673879412000000000,28800,-100,29200,28400,BID,200,-0.35,1392,71393295000,2464800
29050,1673879406000000000,28900,0,29200,28400,ASK,1000,0.0,1391,71364395000,2463800
29050,1673879403000000000,28800,-100,29200,28400,BID,100,-0.35,1390,71361515000,2463700
29050,1673879402000000000,28800,-100,29200,28400,BID,100,-0.35,1389,71358635000,2463600
29050,1673879397000000000,28800,-100,29200,28400,BID,400,-0.35,1388,71347115000,2463200
29050,1673879397000000000,28800,-100,29200,28400,BID,100,-0.35,1388,71344235000,2463100
29050,1673879387000000000,28900,0,29200,28400,BID,500,0.0,1386,71167945000,2457000
29050,1673879387000000000,28900,0,29200,28400,BID,4000,0.0,1386,71211295000,2458500
29050,1673879387000000000,28900,0,29200,28400,BID,1000,0.0,1386,71182395000,2457500
29050,1673879387000000000,28900,0,29200,28400,BID,500,0.0,1386,71329785000,2462600
29050,1673879387000000000,28900,0,29200,28400,BID,100,0.0,1386,71326895000,2462500
29050,1673879387000000000,28900,0,29200,28400,BID,100,0.0,1386,71165055000,2456900
29050,1673879377000000000,28900,0,29200,28400,BID,1200,0.0,1380,71130375000,2455700
29050,1673879374000000000,29000,100,29200,28400,ASK,400,0.35,1379,71118775000,2455300
29050,1673879367000000000,28900,0,29200,28400,BID,200,0.0,1378,71112995000,2455100
29050,1673879321000000000,29050,150,29200,28400,ASK,300,0.52,1377,71104280000,2454800
29050,1673879321000000000,29000,100,29200,28400,ASK,1000,0.35,1377,71063660000,2453400
29050,1673879321000000000,29050,150,29200,28400,ASK,400,0.52,1377,71092660000,2454400
29050,1673879321000000000,29000,100,29200,28400,ASK,1100,0.35,1374,70991160000,2450900
29050,1673879321000000000,29000,100,29200,28400,ASK,100,0.35,1374,71060760000,2453300
29050,1673879321000000000,29000,100,29200,28400,ASK,100,0.35,1374,71034660000,2452400
29050,1673879321000000000,29000,100,29200,28400,ASK,400,0.35,1374,71023060000,2452000
29050,1673879321000000000,29000,100,29200,28400,ASK,300,0.35,1374,71037560000,2452500
29050,1673879321000000000,28900,0,29200,28400,ASK,1000,0.0,1374,70962260000,2449900
29050,1673879321000000000,28900,0,29200,28400,ASK,100,0.0,1374,70959370000,2449800
29050,1673879321000000000,29000,100,29200,28400,ASK,500,0.35,1374,71046260000,2452800
29050,1673879311000000000,29000,100,29200,28400,ASK,1000,0.35,1366,70930370000,2448800
29050,1673879311000000000,29000,100,29200,28400,ASK,200,0.35,1365,70924570000,2448600
29050,1673879311000000000,29000,100,29200,28400,ASK,500,0.35,1365,70910070000,2448100
29050,1673879310000000000,29000,100,29200,28400,ASK,1000,0.35,1363,70881070000,2447100
29050,1673879310000000000,29000,100,29200,28400,ASK,200,0.35,1362,70875270000,2446900
29050,1673879310000000000,29000,100,29200,28400,ASK,100,0.35,1361,70854970000,2446200
29050,1673879310000000000,29000,100,29200,28400,ASK,100,0.35,1361,70872370000,2446800
29050,1673879310000000000,29000,100,29200,28400,ASK,1000,0.35,1361,70796970000,2444200
29050,1673879310000000000,29000,100,29200,28400,ASK,500,0.35,1361,70857870000,2446300
29050,1673879310000000000,29000,100,29200,28400,ASK,500,0.35,1361,70782470000,2443700
29050,1673879310000000000,29000,100,29200,28400,ASK,100,0.35,1360,70704170000,2441000
29050,1673879310000000000,29000,100,29200,28400,ASK,1000,0.35,1361,70825970000,2445200
29050,1673879310000000000,29000,100,29200,28400,ASK,2600,0.35,1359,70707070000,2441100
29050,1673879310000000000,28950,50,29200,28400,ASK,100,0.17,1359,70701275000,2440900
29050,1673879310000000000,28950,50,29200,28400,ASK,300,0.17,1355,70692590000,2440600
29050,1673879310000000000,28950,50,29200,28400,ASK,200,0.17,1351,70686800000,2440400
29050,1673879310000000000,28950,50,29200,28400,ASK,13900,0.17,1351,70246760000,2425200
29050,1673879310000000000,28950,50,29200,28400,ASK,100,0.17,1351,70649165000,2439100
29050,1673879310000000000,28900,0,29200,28400,ASK,1300,0.0,1351,70209190000,2423900
29050,1673879310000000000,28950,50,29200,28400,ASK,1200,0.17,1351,70652060000,2439200
29050,1673879310000000000,28900,0,29200,28400,ASK,1500,0.0,1351,70090700000,2419800
29050,1673879310000000000,28900,0,29200,28400,ASK,1300,0.0,1351,70134050000,2421300
29050,1673879310000000000,28900,0,29200,28400,ASK,1300,0.0,1351,70171620000,2422600
29050,1673879291000000000,28800,-100,29200,28400,BID,4700,-0.35,1343,69955340000,2415100
29050,1673879291000000000,28850,-50,29200,28400,BID,100,-0.17,1343,69952455000,2415000
