o,t,c,ch,h,l,mb,mv,ra,se,va,vo
81000,1673880319000000000,80000,-700,81200,80000,UNKNOWN,93600,-0.87,642,43137440000,534700
81000,1673879405000000000,80200,-500,81200,80200,BID,300,-0.62,641,43113380000,534400
81000,1673879388000000000,80200,-500,81200,80200,BID,200,-0.62,640,43097340000,534200
81000,1673879378000000000,80200,-500,81200,80200,BID,100,-0.62,639,43089320000,534100
81000,1673879363000000000,80200,-500,81200,80200,BID,100,-0.62,638,43081300000,534000
81000,1673879334000000000,80200,-500,81200,80200,BID,200,-0.62,637,43065260000,533800
81000,1673879287000000000,80200,-500,81200,80200,BID,100,-0.62,636,43057240000,533700
81000,1673879287000000000,80200,-500,81200,80200,BID,500,-0.62,636,43017140000,533200
81000,1673879287000000000,80200,-500,81200,80200,BID,500,-0.62,636,42977040000,532700
81000,1673879287000000000,80200,-500,81200,80200,BID,100,-0.62,636,42969020000,532600
81000,1673879287000000000,80200,-500,81200,80200,BID,300,-0.62,636,42944960000,532300
81000,1673879287000000000,80200,-500,81200,80200,BID,500,-0.62,631,42904860000,531800
81000,1673879287000000000,80300,-400,81200,80200,BID,100,-0.5,630,42728340000,529600
81000,1673879287000000000,80300,-400,81200,80200,BID,200,-0.5,630,42776520000,530200
81000,1673879287000000000,80200,-500,81200,80200,BID,200,-0.62,630,42864760000,531300
81000,1673879287000000000,80200,-500,81200,80200,BID,100,-0.62,630,42880800000,531500
81000,1673879287000000000,80300,-400,81200,80200,BID,200,-0.5,630,42760460000,530000
81000,1673879287000000000,80200,-500,81200,80200,BID,900,-0.62,630,42792580000,530400
81000,1673879287000000000,80300,-400,81200,80200,BID,200,-0.5,630,42704250000,529300
81000,1673879287000000000,80300,-400,81200,80200,BID,100,-0.5,630,42720310000,529500
81000,1673879287000000000,80200,-500,81200,80200,BID,200,-0.62,630,42888820000,531600
81000,1673879287000000000,80300,-400,81200,80200,BID,300,-0.5,630,42736370000,529700
81000,1673879281000000000,80500,-200,81200,80200,ASK,200,-0.25,621,42688150000,529100
