o,t,c,ch,h,l,mb,mv,ra,se,va,vo
105200,1673880318000000000,104500,-500,105500,104400,UNKNOWN,10300,-0.48,362,19163650000,182800
105200,1673879383000000000,104500,-500,105500,104400,ASK,100,-0.48,361,19153200000,182700
105200,1673879371000000000,104500,-500,105500,104400,ASK,2000,-0.48,360,18944200000,180700
105200,1673879362000000000,104400,-600,105500,104400,BID,200,-0.57,359,18923320000,180500
105200,1673879356000000000,104400,-600,105500,104400,BID,200,-0.57,358,18902440000,180300
105200,1673879351000000000,104400,-600,105500,104400,BID,100,-0.57,357,18892000000,180200
105200,1673879351000000000,104400,-600,105500,104400,BID,100,-0.57,357,18881560000,180100
105200,1673879347000000000,104500,-500,105500,104400,ASK,100,-0.48,355,18871110000,180000
105200,1673879256000000000,104400,-600,105500,104400,ASK,400,-0.57,354,18829350000,179600
105200,1673879255000000000,104400,-600,105500,104400,ASK,100,-0.57,353,18818910000,179500
105200,1673879245000000000,104400,-600,105500,104400,BID,100,-0.57,352,18693630000,178300
105200,1673879245000000000,104400,-600,105500,104400,BID,100,-0.57,352,18683190000,178200
105200,1673879245000000000,104400,-600,105500,104400,BID,1100,-0.57,352,18704070000,178400
105200,1673879245000000000,104400,-600,105500,104400,BID,200,-0.57,350,18662310000,178000
105200,1673879235000000000,104500,-500,105500,104400,ASK,1400,-0.48,348,18516010000,176600
105200,1673879232000000000,104500,-500,105500,104400,ASK,100,-0.48,347,18505560000,176500
105200,1673879227000000000,104500,-500,105500,104400,ASK,100,-0.48,346,18495110000,176400
105200,1673879212000000000,104500,-500,105500,104400,ASK,600,-0.48,345,18432410000,175800
105200,1673879212000000000,104500,-500,105500,104400,ASK,300,-0.48,344,18401060000,175500
105200,1673879212000000000,104500,-500,105500,104400,ASK,600,-0.48,344,18338360000,174900
105200,1673879190000000000,104500,-500,105500,104400,ASK,100,-0.48,342,18327910000,174800
105200,1673879118000000000,104500,-500,105500,104400,BID,800,-0.48,341,18129360000,172900
105200,1673879118000000000,104500,-500,105500,104400,BID,1100,-0.48,341,18212960000,173700
105200,1673879118000000000,104500,-500,105500,104400,BID,200,-0.48,340,18108460000,172700
105200,1673879118000000000,104500,-500,105500,104400,BID,100,-0.48,338,18098010000,172600
105200,1673879073000000000,104500,-500,105500,104400,ASK,5200,-0.48,337,17554610000,167400
105200,1673879066000000000,104500,-500,105500,104400,BID,200,-0.48,336,17533710000,167200
105200,1673879064000000000,104700,-300,105500,104400,ASK,3000,-0.29,335,17219610000,164200
105200,1673879063000000000,104500,-500,105500,104400,BID,2000,-0.48,334,17010610000,162200
105200,1673878990000000000,104500,-500,105500,104400,ASK,1600,-0.48,333,16843410000,160600
105200,1673878977000000000,104500,-500,105500,104400,ASK,200,-0.48,332,16822510000,160400
105200,1673878967000000000,104500,-500,105500,104400,BID,100,-0.48,331,16812060000,160300
105200,1673878967000000000,104500,-500,105500,104400,BID,100,-0.48,331,16801610000,160200
105200,1673878967000000000,104500,-500,105500,104400,BID,700,-0.48,329,16728460000,159500
105200,1673878967000000000,104500,-500,105500,104400,BID,200,-0.48,329,16707560000,159300
105200,1673878967000000000,104500,-500,105500,104400,BID,100,-0.48,329,16697110000,159200
105200,1673878949000000000,104600,-400,105500,104400,BID,200,-0.38,326,16665740000,158900
105200,1673878949000000000,104500,-500,105500,104400,BID,100,-0.48,326,16686660000,159100
105200,1673878865000000000,104600,-400,105500,104400,BID,3400,-0.38,324,16310100000,155500
105200,1673878827000000000,104500,-500,105500,104400,BID,1100,-0.48,323,16195150000,154400
105200,1673878737000000000,104500,-500,105500,104400,BID,200,-0.48,322,16174250000,154200
105200,1673878700000000000,104500,-500,105500,104400,BID,200,-0.48,321,16153350000,154000
105200,1673878660000000000,104500,-500,105500,104400,BID,100,-0.48,320,16142900000,153900
105200,1673878596000000000,104500,-500,105500,104400,BID,200,-0.48,319,16122000000,153700
105200,1673878566000000000,104500,-500,105500,104400,ASK,500,-0.48,318,16069750000,153200
105200,1673878546000000000,104500,-500,105500,104400,ASK,200,-0.48,317,16048850000,153000
105200,1673878537000000000,104500,-500,105500,104400,BID,300,-0.48,316,16017500000,152700
105200,1673878523000000000,104500,-500,105500,104400,ASK,100,-0.48,315,16007050000,152600
105200,1673878517000000000,104500,-500,105500,104400,ASK,1100,-0.48,314,15881650000,151400
105200,1673878517000000000,104500,-500,105500,104400,ASK,100,-0.48,314,15996600000,152500
105200,1673878489000000000,104500,-500,105500,104400,ASK,100,-0.48,312,15871200000,151300
105200,1673878445000000000,104500,-500,105500,104400,ASK,200,-0.48,311,15850300000,151100
105200,1673878432000000000,104500,-500,105500,104400,ASK,100,-0.48,310,15839850000,151000
105200,1673878432000000000,104500,-500,105500,104400,BID,1000,-0.48,310,15714450000,149800
105200,1673878432000000000,104500,-500,105500,104400,BID,200,-0.48,309,15818950000,150800
105200,1673878425000000000,104500,-500,105500,104400,BID,1000,-0.48,307,15609950000,148800
105200,1673878417000000000,104500,-500,105500,104400,BID,1000,-0.48,306,15505450000,147800
105200,1673878357000000000,104500,-500,105500,104400,BID,500,-0.48,305,15453200000,147300
105200,1673878318000000000,104500,-500,105500,104400,ASK,500,-0.48,304,15400950000,146800
105200,1673878312000000000,104500,-500,105500,104400,ASK,300,-0.48,303,15369600000,146500
105200,1673878266000000000,104500,-500,105500,104400,BID,100,-0.48,302,15348700000,146300
105200,1673878266000000000,104500,-500,105500,104400,BID,100,-0.48,302,15359150000,146400
105200,1673878141000000000,104500,-500,105500,104400,ASK,700,-0.48,300,15275550000,145600
105200,1673878139000000000,104500,-500,105500,104400,ASK,100,-0.48,299,15265100000,145500
105200,1673878122000000000,104500,-500,105500,104400,BID,200,-0.48,298,15244200000,145300
105200,1673878089000000000,104500,-500,105500,104400,BID,200,-0.48,297,15223300000,145100
105200,1673878030000000000,104500,-500,105500,104400,ASK,300,-0.48,296,15191950000,144800
105200,1673878024000000000,104500,-500,105500,104400,ASK,100,-0.48,295,15181500000,144700
105200,1673878013000000000,104400,-600,105500,104400,BID,100,-0.57,294,15171060000,144600
105200,1673878013000000000,104400,-600,105500,104400,BID,100,-0.57,294,15160620000,144500
105200,1673878010000000000,104500,-500,105500,104400,BID,500,-0.48,292,15097920000,143900
105200,1673878010000000000,104500,-500,105500,104400,BID,100,-0.48,292,15150170000,144400
105200,1673878009000000000,104500,-500,105500,104400,BID,200,-0.48,290,15077020000,143700
105200,1673877999000000000,104500,-500,105500,104400,BID,1000,-0.48,289,14972520000,142700
105200,1673877994000000000,104600,-400,105500,104400,ASK,2000,-0.38,288,14763320000,140700
105200,1673877990000000000,104500,-500,105500,104400,BID,200,-0.48,287,14742420000,140500
105200,1673877986000000000,104500,-500,105500,104400,BID,200,-0.48,286,14721520000,140300
105200,1673877965000000000,104500,-500,105500,104400,BID,1000,-0.48,285,14617020000,139300
105200,1673877955000000000,104500,-500,105500,104400,ASK,1900,-0.48,284,14418470000,137400
105200,1673877953000000000,104500,-500,105500,104400,ASK,100,-0.48,283,14408020000,137300
105200,1673877928000000000,104500,-500,105500,104400,ASK,1700,-0.48,282,14230370000,135600
105200,1673877910000000000,104500,-500,105500,104400,BID,300,-0.48,281,14199020000,135300
105200,1673877906000000000,104500,-500,105500,104400,BID,100,-0.48,280,14146770000,134800
105200,1673877906000000000,104500,-500,105500,104400,BID,400,-0.48,280,14157220000,134900
105200,1673877906000000000,104500,-500,105500,104400,BID,1500,-0.48,278,13990020000,133300
105200,1673877897000000000,104500,-500,105500,104400,BID,200,-0.48,277,13969120000,133100
105200,1673877897000000000,104600,-400,105500,104400,BID,1500,-0.38,277,13780840000,131300
105200,1673877897000000000,104600,-400,105500,104400,BID,200,-0.38,277,13937740000,132800
105200,1673877897000000000,104600,-400,105500,104400,BID,100,-0.38,277,13958660000,133000
105200,1673877895000000000,104900,-100,105500,104400,ASK,200,-0.1,273,13759860000,131100
105200,1673877875000000000,104900,-100,105500,104400,ASK,300,-0.1,272,13728390000,130800
105200,1673877854000000000,104600,-400,105500,104400,BID,500,-0.38,271,13676090000,130300
105200,1673877854000000000,104600,-400,105500,104400,BID,200,-0.38,271,13655170000,130100
105200,1673877854000000000,104600,-400,105500,104400,BID,200,-0.38,269,13634250000,129900
105200,1673877854000000000,104600,-400,105500,104400,BID,100,-0.38,269,13623790000,129800
105200,1673877838000000000,104900,-100,105500,104400,ASK,100,-0.1,267,13613300000,129700
105200,1673877764000000000,104600,-400,105500,104400,BID,300,-0.38,266,13581920000,129400
105200,1673877763000000000,104600,-400,105500,104400,BID,600,-0.38,265,13519160000,128800
105200,1673877763000000000,104600,-400,105500,104400,BID,200,-0.38,265,13477320000,128400
105200,1673877763000000000,104600,-400,105500,104400,BID,200,-0.38,265,13498240000,128600
