o,t,c,ch,h,l,mb,mv,ra,se,va,vo
14950,1673880319000000000,14550,-250,15100,14550,UNKNOWN,98800,-1.69,1069,28695650000,1936900
14950,1673879416000000000,14700,-100,15100,14550,ASK,100,-0.68,1068,28694180000,1936800
14950,1673879414000000000,14700,-100,15100,14550,ASK,100,-0.68,1067,28692710000,1936700
14950,1673879407000000000,14700,-100,15100,14550,ASK,200,-0.68,1066,28689770000,1936500
14950,1673879387000000000,14700,-100,15100,14550,ASK,100,-0.68,1065,28688300000,1936400
14950,1673879365000000000,14650,-150,15100,14550,ASK,500,-1.01,1064,28673625000,1935400
14950,1673879365000000000,14700,-100,15100,14550,ASK,500,-0.68,1064,28680950000,1935900
14950,1673879363000000000,14600,-200,15100,14550,BID,300,-1.35,1062,28669245000,1935100
14950,1673879360000000000,14650,-150,15100,14550,BID,200,-1.01,1061,28666315000,1934900
14950,1673879360000000000,14650,-150,15100,14550,BID,300,-1.01,1061,28661920000,1934600
14950,1673879356000000000,14650,-150,15100,14550,BID,100,-1.01,1059,28657525000,1934300
14950,1673879356000000000,14650,-150,15100,14550,BID,200,-1.01,1059,28658990000,1934400
14950,1673879353000000000,14650,-150,15100,14550,BID,100,-1.01,1057,28654595000,1934100
14950,1673879353000000000,14650,-150,15100,14550,BID,100,-1.01,1057,28656060000,1934200
14950,1673879353000000000,14650,-150,15100,14550,BID,100,-1.01,1057,28653130000,1934000
14950,1673879350000000000,14650,-150,15100,14550,BID,100,-1.01,1054,28651665000,1933900
14950,1673879310000000000,14650,-150,15100,14550,BID,200,-1.01,1053,28648735000,1933700
14950,1673879310000000000,14650,-150,15100,14550,BID,2800,-1.01,1053,28607715000,1930900
14950,1673879299000000000,14700,-100,15100,14550,ASK,5000,-0.68,1051,28534215000,1925900
14950,1673879284000000000,14700,-100,15100,14550,ASK,100,-0.68,1050,28532745000,1925800
14950,1673879278000000000,14700,-100,15100,14550,ASK,400,-0.68,1049,28526865000,1925400
14950,1673879270000000000,14700,-100,15100,14550,ASK,100,-0.68,1048,28525395000,1925300
14950,1673879269000000000,14650,-150,15100,14550,BID,200,-1.01,1047,28522465000,1925100
14950,1673879247000000000,14650,-150,15100,14550,BID,100,-1.01,1046,28519535000,1924900
14950,1673879247000000000,14650,-150,15100,14550,BID,100,-1.01,1046,28521000000,1925000
14950,1673879243000000000,14650,-150,15100,14550,BID,400,-1.01,1044,28513675000,1924500
14950,1673879209000000000,14700,-100,15100,14550,ASK,1000,-0.68,1043,28491625000,1923000
14950,1673879209000000000,14700,-100,15100,14550,ASK,100,-0.68,1043,28506325000,1924000
14950,1673879209000000000,14700,-100,15100,14550,ASK,400,-0.68,1043,28507795000,1924100
14950,1673879209000000000,14700,-100,15100,14550,ASK,4000,-0.68,1043,28432825000,1919000
14950,1673879189000000000,14700,-100,15100,14550,ASK,100,-0.68,1039,28431355000,1918900
14950,1673879124000000000,14700,-100,15100,14550,ASK,5300,-0.68,1038,28353445000,1913600
14950,1673879119000000000,14700,-100,15100,14550,ASK,100,-0.68,1037,28351975000,1913500
14950,1673879114000000000,14700,-100,15100,14550,ASK,500,-0.68,1036,28344625000,1913000
14950,1673879096000000000,14650,-150,15100,14550,ASK,500,-1.01,1035,28337300000,1912500
14950,1673879096000000000,14650,-150,15100,14550,ASK,1000,-1.01,1035,28322650000,1911500
14950,1673879095000000000,14650,-150,15100,14550,ASK,200,-1.01,1033,28290420000,1909300
