o,t,c,ch,h,l,mb,mv,ra,se,va,vo
16850,1673880319000000000,16650,50,16950,16600,UNKNOWN,100100,0.3,684,31514915000,1876000
16850,1673879382000000000,16750,150,16950,16600,ASK,200,0.9,683,31511565000,1875800
16850,1673879379000000000,16750,150,16950,16600,ASK,500,0.9,682,31503190000,1875300
16850,1673879367000000000,16750,150,16950,16600,ASK,400,0.9,681,31496490000,1874900
16850,1673879355000000000,16750,150,16950,16600,ASK,100,0.9,680,31494815000,1874800
16850,1673879346000000000,16750,150,16950,16600,ASK,200,0.9,679,31491465000,1874600
16850,1673879336000000000,16700,100,16950,16600,BID,500,0.6,678,31483115000,1874100
16850,1673879236000000000,16650,50,16950,16600,BID,100,0.3,677,30743855000,1829700
16850,1673879236000000000,16650,50,16950,16600,BID,1700,0.3,677,30745520000,1829800
16850,1673879236000000000,16650,50,16950,16600,BID,42600,0.3,677,30773825000,1831500
16850,1673879236000000000,16650,50,16950,16600,BID,5000,0.3,677,30605660000,1821400
16850,1673879236000000000,16700,100,16950,16600,BID,100,0.6,677,30465795000,1813000
16850,1673879236000000000,16650,50,16950,16600,BID,100,0.3,677,30742190000,1829600
16850,1673879236000000000,16650,50,16950,16600,BID,8300,0.3,677,30467465000,1813100
16850,1673879236000000000,16700,100,16950,16600,BID,600,0.6,677,30455775000,1812400
16850,1673879236000000000,16650,50,16950,16600,BID,3000,0.3,677,30688910000,1826400
16850,1673879236000000000,16650,50,16950,16600,BID,200,0.3,677,30738860000,1829400
16850,1673879216000000000,16700,100,16950,16600,ASK,400,0.6,667,30449095000,1812000
16850,1673879197000000000,16700,100,16950,16600,ASK,1600,0.6,666,30422375000,1810400
16850,1673879197000000000,16700,100,16950,16600,ASK,300,0.6,666,30417365000,1810100
16850,1673879197000000000,16700,100,16950,16600,ASK,600,0.6,664,30407345000,1809500
16850,1673879192000000000,16700,100,16950,16600,ASK,100,0.6,663,30398995000,1809000
16850,1673879192000000000,16700,100,16950,16600,ASK,400,0.6,663,30400665000,1809100
16850,1673879180000000000,16700,100,16950,16600,ASK,1000,0.6,661,30382295000,1808000
16850,1673879165000000000,16650,50,16950,16600,BID,1000,0.3,660,30365645000,1807000
16850,1673879165000000000,16650,50,16950,16600,ASK,1000,0.3,659,30348995000,1806000
16850,1673879165000000000,16650,50,16950,16600,ASK,39700,0.3,659,29687990000,1766300
16850,1673879162000000000,16650,50,16950,16600,ASK,400,0.3,657,29681330000,1765900
16850,1673879159000000000,16650,50,16950,16600,ASK,100,0.3,656,29679665000,1765800
16850,1673879151000000000,16650,50,16950,16600,ASK,200,0.3,655,29676335000,1765600
16850,1673879147000000000,16650,50,16950,16600,ASK,1000,0.3,654,29659685000,1764600
16850,1673879143000000000,16650,50,16950,16600,ASK,1000,0.3,653,29643035000,1763600
16850,1673879138000000000,16650,50,16950,16600,ASK,200,0.3,652,29639705000,1763400
16850,1673879129000000000,16600,0,16950,16600,BID,1100,0.0,651,29621445000,1762300
16850,1673879129000000000,16600,0,16950,16600,BID,100,0.0,651,29619785000,1762200
16850,1673879124000000000,16650,50,16950,16650,ASK,800,0.3,649,29606465000,1761400
16850,1673879121000000000,16650,50,16950,16650,ASK,100,0.3,648,29604800000,1761300
16850,1673879121000000000,16650,50,16950,16650,ASK,1000,0.3,647,29588150000,1760300
16850,1673879121000000000,16650,50,16950,16650,ASK,1000,0.3,646,29571500000,1759300
16850,1673879110000000000,16650,50,16950,16650,ASK,1000,0.3,645,29554850000,1758300
16850,1673879097000000000,16650,50,16950,16650,ASK,200,0.3,644,29551520000,1758100
16850,1673879084000000000,16650,50,16950,16650,ASK,100,0.3,643,29549855000,1758000
16850,1673879083000000000,16650,50,16950,16650,ASK,100,0.3,642,29548190000,1757900
16850,1673879076000000000,16650,50,16950,16650,BID,1000,0.3,641,29531540000,1756900
16850,1673879076000000000,16650,50,16950,16650,BID,100,0.3,641,29529875000,1756800
16850,1673879076000000000,16650,50,16950,16650,BID,100,0.3,641,29528210000,1756700
16850,1673879076000000000,16650,50,16950,16650,BID,700,0.3,640,29516555000,1756000
16850,1673879076000000000,16650,50,16950,16650,BID,200,0.3,638,29429975000,1750800
16850,1673879076000000000,16650,50,16950,16650,BID,5000,0.3,638,29433305000,1751000
16850,1673879076000000000,16650,50,16950,16650,BID,5000,0.3,635,29346725000,1745800
16850,1673879076000000000,16650,50,16950,16650,BID,300,0.3,635,29341730000,1745500
16850,1673879076000000000,16650,50,16950,16650,BID,1000,0.3,634,29325080000,1744500
16850,1673879076000000000,16650,50,16950,16650,BID,500,0.3,633,29296775000,1742800
16850,1673879076000000000,16650,50,16950,16650,BID,300,0.3,633,29320085000,1744200
16850,1673879076000000000,16650,50,16950,16650,BID,200,0.3,632,29316755000,1744000
16850,1673879076000000000,16650,50,16950,16650,BID,500,0.3,632,29308430000,1743500
16850,1673879076000000000,16650,50,16950,16650,BID,200,0.3,631,29305100000,1743300
16850,1673879076000000000,16650,50,16950,16650,BID,100,0.3,627,29295110000,1742700
16850,1673879076000000000,16650,50,16950,16650,BID,8700,0.3,627,29150255000,1734000
16850,1673879076000000000,16650,50,16950,16650,BID,100,0.3,627,29148590000,1733900
16850,1673879076000000000,16650,50,16950,16650,BID,200,0.3,626,29145260000,1733700
16850,1673879076000000000,16650,50,16950,16650,BID,1000,0.3,626,29128610000,1732700
16850,1673879076000000000,16650,50,16950,16650,BID,400,0.3,624,29121950000,1732300
