o,t,c,ch,h,l,mb,mv,ra,se,va,vo
20300,1673880318000000000,19950,-100,20350,19900,UNKNOWN,1377500,-0.5,6878,358484695000,17797200
20300,1673879412000000000,20050,0,20350,19900,ASK,1000,0.0,6877,358464645000,17796200
20300,1673879408000000000,20100,50,20350,19900,ASK,1300,0.25,6876,358438515000,17794900
20300,1673879408000000000,20050,0,20350,19900,ASK,2200,0.0,6876,358384380000,17792200
20300,1673879408000000000,20050,0,20350,19900,ASK,500,0.0,6876,358428490000,17794400
20300,1673879408000000000,20050,0,20350,19900,BID,800,0.0,6873,358368340000,17791400
20300,1673879406000000000,20050,0,20350,19900,ASK,1000,0.0,6872,358348290000,17790400
20300,1673879406000000000,20050,0,20350,19900,ASK,200,0.0,6872,358344280000,17790200
20300,1673879405000000000,20000,-50,20350,19900,BID,1500,-0.25,6870,358314280000,17788700
20300,1673879405000000000,20050,0,20350,19900,ASK,200,0.0,6869,358310270000,17788500
20300,1673879403000000000,20050,0,20350,19900,ASK,100,0.0,6868,358308265000,17788400
20300,1673879392000000000,20000,-50,20350,19900,BID,3000,-0.25,6867,358248265000,17785400
20300,1673879390000000000,20050,0,20350,19900,ASK,300,0.0,6866,358242250000,17785100
20300,1673879380000000000,20050,0,20350,19900,ASK,1400,0.0,6865,358214180000,17783700
20300,1673879380000000000,20050,0,20350,19900,ASK,1600,0.0,6865,358182100000,17782100
20300,1673879378000000000,20050,0,20350,19900,ASK,100,0.0,6863,358172075000,17781600
20300,1673879378000000000,20050,0,20350,19900,ASK,400,0.0,6863,358174080000,17781700
20300,1673879377000000000,20000,-50,20350,19900,BID,500,-0.25,6861,358162075000,17781100
20300,1673879377000000000,20050,0,20350,19900,ASK,100,0.0,6860,358160070000,17781000
20300,1673879368000000000,20000,-50,20350,19900,BID,500,-0.25,6859,358150070000,17780500
20300,1673879368000000000,20050,0,20350,19900,ASK,300,0.0,6858,358144055000,17780200
20300,1673879368000000000,20050,0,20350,19900,ASK,200,0.0,6858,358140045000,17780000
20300,1673879364000000000,20050,0,20350,19900,ASK,1000,0.0,6856,358119995000,17779000
20300,1673879364000000000,20050,0,20350,19900,ASK,2000,0.0,6855,358079895000,17777000
20300,1673879363000000000,20000,-50,20350,19900,BID,3600,-0.25,6854,358007895000,17773400
20300,1673879363000000000,20000,-50,20350,19900,BID,5100,-0.25,6854,357905895000,17768300
20300,1673879363000000000,20000,-50,20350,19900,BID,300,-0.25,6852,357895895000,17767800
20300,1673879363000000000,20000,-50,20350,19900,BID,200,-0.25,6852,357901895000,17768100
20300,1673879361000000000,20050,0,20350,19900,ASK,9900,0.0,6850,357697400000,17757900
20300,1673879360000000000,20050,0,20350,19900,ASK,7800,0.0,6849,357541010000,17750100
20300,1673879358000000000,20050,0,20350,19900,ASK,1000,0.0,6848,357520960000,17749100
20300,1673879354000000000,20050,0,20350,19900,ASK,2600,0.0,6847,357468830000,17746500
20300,1673879351000000000,20000,-50,20350,19900,BID,5600,-0.25,6846,357356830000,17740900
20300,1673879351000000000,20050,0,20350,19900,ASK,200,0.0,6846,357352820000,17740700
20300,1673879350000000000,20050,0,20350,19900,ASK,100,0.0,6844,357350815000,17740600
20300,1673879348000000000,20050,0,20350,19900,ASK,300,0.0,6843,357344800000,17740300
20300,1673879345000000000,20050,0,20350,19900,BID,900,0.0,6842,357326755000,17739400
20300,1673879345000000000,20050,0,20350,19900,BID,500,0.0,6842,357316730000,17738900
20300,1673879345000000000,20050,0,20350,19900,BID,200,0.0,6840,357312720000,17738700
20300,1673879345000000000,20050,0,20350,19900,BID,500,0.0,6840,357280640000,17737100
20300,1673879345000000000,20050,0,20350,19900,BID,500,0.0,6840,357158335000,17731000
20300,1673879345000000000,20050,0,20350,19900,BID,1100,0.0,6840,357290665000,17737600
20300,1673879345000000000,20050,0,20350,19900,BID,5000,0.0,6840,357180390000,17732100
20300,1673879345000000000,20050,0,20350,19900,BID,500,0.0,6840,357170365000,17731600
20300,1673879345000000000,20050,0,20350,19900,BID,100,0.0,6840,357168360000,17731500
20300,1673879345000000000,20050,0,20350,19900,BID,10000,0.0,6840,356957835000,17721000
20300,1673879345000000000,20050,0,20350,19900,BID,4200,0.0,6840,356873625000,17716800
20300,1673879344000000000,20100,50,20350,19900,ASK,100,0.25,6831,356871615000,17716700
20300,1673879337000000000,20050,0,20350,19900,BID,200,0.0,6830,356867605000,17716500
20300,1673879329000000000,20050,0,20350,19900,BID,100,0.0,6829,356865600000,17716400
20300,1673879320000000000,20100,50,20350,19900,ASK,100,0.25,6828,356863590000,17716300
20300,1673879319000000000,20100,50,20350,19900,ASK,500,0.25,6827,356853540000,17715800
20300,1673879319000000000,20100,50,20350,19900,ASK,300,0.25,6827,356847510000,17715500
