o,t,c,ch,h,l,mb,mv,ra,se,va,vo
27000,1673880320000000000,26200,-600,27300,25800,UNKNOWN,82200,-2.24,1495,38618410000,1450400
27000,1673879417000000000,26500,-300,27300,25800,BID,100,-1.12,1494,38610480000,1450100
27000,1673879417000000000,26400,-400,27300,25800,BID,200,-1.49,1494,38613130000,1450200
27000,1673879403000000000,26500,-300,27300,25800,ASK,100,-1.12,1492,38607830000,1450000
27000,1673879393000000000,26300,-500,27300,25800,BID,500,-1.87,1491,38594680000,1449500
27000,1673879393000000000,26400,-400,27300,25800,BID,200,-1.49,1491,38584140000,1449100
27000,1673879393000000000,26300,-500,27300,25800,BID,200,-1.87,1491,38589420000,1449300
27000,1673879382000000000,26400,-400,27300,25800,ASK,300,-1.49,1488,38576220000,1448800
27000,1673879378000000000,26200,-600,27300,25800,BID,2000,-2.24,1487,38523820000,1446800
27000,1673879361000000000,26200,-600,27300,25800,BID,800,-2.24,1486,38502860000,1446000
27000,1673879356000000000,26200,-600,27300,25800,BID,800,-2.24,1485,38481900000,1445200
27000,1673879351000000000,26200,-600,27300,25800,BID,300,-2.24,1484,38474040000,1444900
27000,1673879351000000000,26350,-450,27300,25800,BID,500,-1.68,1483,38460865000,1444400
27000,1673879345000000000,26400,-400,27300,25800,BID,200,-1.49,1482,38455585000,1444200
27000,1673879319000000000,26200,-600,27300,25800,BID,300,-2.24,1481,38447725000,1443900
27000,1673879319000000000,26200,-600,27300,25800,BID,1500,-2.24,1481,38408425000,1442400
27000,1673879319000000000,26250,-550,27300,25800,BID,10000,-2.05,1481,38145925000,1432400
27000,1673879319000000000,26300,-500,27300,25800,BID,300,-1.87,1478,38138035000,1432100
27000,1673879318000000000,26300,-500,27300,25800,BID,200,-1.87,1477,38132775000,1431900
27000,1673879291000000000,26300,-500,27300,25800,BID,7000,-1.87,1476,37948675000,1424900
27000,1673879265000000000,26300,-500,27300,25800,BID,100,-1.87,1475,37843735000,1420900
27000,1673879265000000000,26200,-600,27300,25800,BID,1000,-2.24,1475,37883175000,1422400
27000,1673879265000000000,26200,-600,27300,25800,BID,500,-2.24,1475,37935575000,1424400
27000,1673879265000000000,26200,-600,27300,25800,BID,100,-2.24,1475,37880555000,1422300
27000,1673879265000000000,26200,-600,27300,25800,BID,1000,-2.24,1475,37909375000,1423400
27000,1673879265000000000,26300,-500,27300,25800,BID,1000,-1.87,1475,37846365000,1421000
