o,t,c,ch,h,l,mb,mv,ra,se,va,vo
18400,1673880320000000000,18250,0,18550,18250,UNKNOWN,450700,0.0,2575,138974460000,7548800
18400,1673879412000000000,18350,100,18550,18250,ASK,200,0.55,2574,138970790000,7548600
18400,1673879412000000000,18350,100,18550,18250,ASK,2000,0.55,2573,138934090000,7546600
18400,1673879404000000000,18350,100,18550,18250,ASK,10000,0.55,2572,138750590000,7536600
18400,1673879403000000000,18350,100,18550,18250,ASK,100,0.55,2571,138748755000,7536500
18400,1673879396000000000,18350,100,18550,18250,ASK,200,0.55,2570,138745085000,7536300
18400,1673879393000000000,18350,100,18550,18250,ASK,100,0.55,2569,138743250000,7536200
18400,1673879393000000000,18350,100,18550,18250,ASK,100,0.55,2569,138741415000,7536100
18400,1673879392000000000,18350,100,18550,18250,ASK,400,0.55,2567,138734075000,7535700
18400,1673879386000000000,18350,100,18550,18250,ASK,4800,0.55,2566,138645995000,7530900
18400,1673879386000000000,18350,100,18550,18250,ASK,200,0.55,2566,138642325000,7530700
18400,1673879382000000000,18300,50,18550,18250,BID,900,0.27,2564,138625855000,7529800
18400,1673879381000000000,18350,100,18550,18250,ASK,9800,0.55,2563,138446025000,7520000
18400,1673879381000000000,18350,100,18550,18250,ASK,200,0.55,2563,138442355000,7519800
18400,1673879379000000000,18350,100,18550,18250,ASK,1000,0.55,2561,138405655000,7517800
18400,1673879379000000000,18350,100,18550,18250,ASK,100,0.55,2561,138394645000,7517200
18400,1673879379000000000,18350,100,18550,18250,ASK,100,0.55,2561,138365285000,7515600
18400,1673879379000000000,18350,100,18550,18250,ASK,1000,0.55,2561,138424005000,7518800
18400,1673879379000000000,18350,100,18550,18250,ASK,500,0.55,2561,138396480000,7517300
18400,1673879379000000000,18350,100,18550,18250,ASK,5800,0.55,2561,138258855000,7509800
18400,1673879379000000000,18350,100,18550,18250,ASK,1000,0.55,2561,138376295000,7516200
18400,1673879379000000000,18350,100,18550,18250,ASK,500,0.55,2561,138367120000,7515700
18400,1673879378000000000,18350,100,18550,18250,ASK,2000,0.55,2553,138222155000,7507800
18400,1673879376000000000,18300,50,18550,18250,BID,1000,0.27,2552,138203855000,7506800
18400,1673879375000000000,18300,50,18550,18250,BID,500,0.27,2551,138194705000,7506300
18400,1673879370000000000,18350,100,18550,18250,ASK,1000,0.55,2550,138132315000,7502900
18400,1673879370000000000,18350,100,18550,18250,ASK,200,0.55,2550,138150665000,7503900
18400,1673879370000000000,18350,100,18550,18250,ASK,500,0.55,2550,138123140000,7502400
18400,1673879370000000000,18350,100,18550,18250,ASK,4100,0.55,2550,138047905000,7498300
18400,1673879370000000000,18350,100,18550,18250,ASK,2200,0.55,2550,138154335000,7504100
18400,1673879369000000000,18350,100,18550,18250,ASK,1000,0.55,2545,138029555000,7497300
18400,1673879367000000000,18350,100,18550,18250,ASK,300,0.55,2544,138024050000,7497000
18400,1673879361000000000,18350,100,18550,18250,ASK,300,0.55,2543,138018545000,7496700
18400,1673879358000000000,18350,100,18550,18250,ASK,2300,0.55,2542,137976340000,7494400
18400,1673879358000000000,18350,100,18550,18250,ASK,100,0.55,2541,137974505000,7494300
18400,1673879358000000000,18350,100,18550,18250,ASK,2600,0.55,2541,137926795000,7491700
18400,1673879357000000000,18350,100,18550,18250,ASK,400,0.55,2539,137919455000,7491300
18400,1673879357000000000,18350,100,18550,18250,ASK,400,0.55,2539,137912115000,7490900
18400,1673879357000000000,18350,100,18550,18250,ASK,1200,0.55,2539,137890095000,7489700
18400,1673879353000000000,18350,100,18550,18250,ASK,300,0.55,2536,137884590000,7489400
18400,1673879350000000000,18350,100,18550,18250,ASK,100,0.55,2535,137882755000,7489300
18400,1673879339000000000,18350,100,18550,18250,ASK,1000,0.55,2534,137864405000,7488300
18400,1673879331000000000,18350,100,18550,18250,ASK,600,0.55,2533,137853395000,7487700
18400,1673879325000000000,18350,100,18550,18250,ASK,1800,0.55,2532,137820365000,7485900
18400,1673879325000000000,18350,100,18550,18250,ASK,200,0.55,2531,137816695000,7485700
18400,1673879316000000000,18300,50,18550,18250,BID,500,0.27,2530,137807545000,7485200
18400,1673879302000000000,18350,100,18550,18250,ASK,1800,0.55,2529,137770845000,7483200
18400,1673879302000000000,18350,100,18550,18250,ASK,200,0.55,2529,137803875000,7485000
18400,1673879299000000000,18300,50,18550,18250,BID,200,0.27,2527,137767185000,7483000
18400,1673879295000000000,18300,50,18550,18250,BID,400,0.27,2526,137759865000,7482600
18400,1673879283000000000,18300,50,18550,18250,BID,1100,0.27,2525,137739735000,7481500
18400,1673879280000000000,18350,100,18550,18250,ASK,3000,0.55,2524,137684685000,7478500
18400,1673879280000000000,18300,50,18550,18250,BID,100,0.27,2524,137682855000,7478400
18400,1673879277000000000,18300,50,18550,18250,BID,1500,0.27,2522,137655405000,7476900
18400,1673879275000000000,18300,50,18550,18250,BID,400,0.27,2521,137648085000,7476500
18400,1673879274000000000,18300,50,18550,18250,BID,3400,0.27,2520,137585865000,7473100
18400,1673879274000000000,18300,50,18550,18250,BID,700,0.27,2520,137547435000,7471000
18400,1673879274000000000,18300,50,18550,18250,BID,500,0.27,2520,137538285000,7470500
18400,1673879274000000000,18300,50,18550,18250,BID,1400,0.27,2520,137560245000,7471700
18400,1673879274000000000,18300,50,18550,18250,BID,500,0.27,2516,137529135000,7470000
18400,1673879274000000000,18300,50,18550,18250,BID,500,0.27,2516,137519985000,7469500
18400,1673879264000000000,18300,50,18550,18250,BID,400,0.27,2514,137512665000,7469100
18400,1673879260000000000,18350,100,18550,18250,ASK,600,0.55,2513,137494315000,7468100
18400,1673879260000000000,18350,100,18550,18250,ASK,100,0.55,2513,137507160000,7468800
18400,1673879260000000000,18350,100,18550,18250,ASK,200,0.55,2513,137508995000,7468900
