o,t,c,ch,h,l,mb,mv,ra,se,va,vo
94800,1673880319000000000,95000,1700,95000,93400,UNKNOWN,91000,1.82,923,21626210000,228700
94800,1673879395000000000,93900,600,95000,93400,BID,100,0.64,922,21616820000,228600
94800,1673879395000000000,93900,600,95000,93400,BID,200,0.64,922,21598040000,228400
94800,1673879362000000000,93800,500,95000,93400,BID,600,0.54,920,21541760000,227800
94800,1673879362000000000,93800,500,95000,93400,BID,500,0.54,919,21494860000,227300
94800,1673879356000000000,93800,500,95000,93400,BID,600,0.54,918,21391680000,226200
94800,1673879356000000000,93800,500,95000,93400,BID,500,0.54,918,21447960000,226800
94800,1673879351000000000,93800,500,95000,93400,BID,300,0.54,916,21363540000,225900
94800,1673879351000000000,93900,600,95000,93400,BID,100,0.64,916,21354150000,225800
94800,1673879351000000000,94000,700,95000,93400,BID,100,0.75,914,21335350000,225600
94800,1673879351000000000,94000,700,95000,93400,BID,100,0.75,914,21344750000,225700
94800,1673879351000000000,94000,700,95000,93400,BID,100,0.75,912,21297750000,225200
94800,1673879351000000000,94000,700,95000,93400,BID,300,0.75,912,21307150000,225300
94800,1673879351000000000,94500,1200,95000,93400,BID,100,1.29,912,21288300000,225100
94800,1673879262000000000,94700,1400,95000,93400,ASK,100,1.5,909,21278830000,225000
94800,1673879215000000000,94700,1400,95000,93400,ASK,100,1.5,908,21269360000,224900
94800,1673879187000000000,94800,1500,95000,93400,BID,100,1.61,907,21259880000,224800
94800,1673879184000000000,94900,1600,95000,93400,ASK,200,1.71,906,21240900000,224600
94800,1673879153000000000,94900,1600,95000,93400,ASK,100,1.71,905,21231410000,224500
94800,1673879122000000000,94900,1600,95000,93400,ASK,200,1.71,904,21212430000,224300
94800,1673879091000000000,94900,1600,95000,93400,ASK,100,1.71,903,21202940000,224200
94800,1673879067000000000,94900,1600,95000,93400,ASK,100,1.71,902,21193450000,224100
94800,1673879064000000000,94900,1600,95000,93400,ASK,100,1.71,901,21183960000,224000
94800,1673879059000000000,94900,1600,95000,93400,ASK,200,1.71,900,21164980000,223800
94800,1673879051000000000,94900,1600,95000,93400,ASK,2100,1.71,899,20965690000,221700
94800,1673879043000000000,94800,1500,95000,93400,ASK,100,1.61,898,20956210000,221600
94800,1673879043000000000,94800,1500,95000,93400,ASK,500,1.61,898,20908810000,221100
94800,1673879043000000000,94800,1500,95000,93400,ASK,500,1.61,898,20624410000,218100
94800,1673879043000000000,94800,1500,95000,93400,ASK,2500,1.61,898,20671810000,218600
94800,1673879043000000000,94800,1500,95000,93400,ASK,1900,1.61,898,20444290000,216200
94800,1673879040000000000,94700,1400,95000,93400,BID,1000,1.5,893,20349590000,215200
94800,1673879035000000000,94700,1400,95000,93400,ASK,200,1.5,892,20330650000,215000
94800,1673879028000000000,94800,1500,95000,93400,ASK,100,1.61,891,20321170000,214900
94800,1673879027000000000,94800,1500,95000,93400,ASK,300,1.61,890,20254810000,214200
