o,t,c,ch,h,l,mb,mv,ra,se,va,vo
42450,1673880319000000000,42050,-50,42650,42050,UNKNOWN,90000,-0.12,973,42084020000,997500
42450,1673879411000000000,42150,50,42650,42050,ASK,300,0.12,972,42033440000,996300
42450,1673879411000000000,42150,50,42650,42050,ASK,900,0.12,972,42046085000,996600
42450,1673879411000000000,42150,50,42650,42050,ASK,100,0.12,970,42029225000,996200
42450,1673879411000000000,42150,50,42650,42050,ASK,2700,0.12,969,41873270000,992500
42450,1673879411000000000,42150,50,42650,42050,ASK,1000,0.12,969,41987075000,995200
42450,1673879390000000000,42150,50,42650,42050,ASK,1000,0.12,967,41831120000,991500
42450,1673879389000000000,42150,50,42650,42050,ASK,100,0.12,966,41826905000,991400
42450,1673879379000000000,42150,50,42650,42050,ASK,2000,0.12,965,41742605000,989400
42450,1673879365000000000,42150,50,42650,42050,ASK,400,0.12,964,41725745000,989000
42450,1673879342000000000,42150,50,42650,42050,ASK,200,0.12,963,41717315000,988800
42450,1673879341000000000,42150,50,42650,42050,ASK,300,0.12,962,41704670000,988500
42450,1673879341000000000,42150,50,42650,42050,ASK,200,0.12,962,41696240000,988300
42450,1673879341000000000,42100,0,42650,42050,BID,600,0.0,960,41670980000,987700
42450,1673879323000000000,42150,50,42650,42050,ASK,100,0.12,959,41666765000,987600
42450,1673879312000000000,42100,0,42650,42050,BID,500,0.0,958,41645715000,987100
42450,1673879307000000000,42100,0,42650,42050,BID,100,0.0,957,41641505000,987000
42450,1673879283000000000,42150,50,42650,42050,ASK,100,0.12,956,41637290000,986900
42450,1673879276000000000,42150,50,42650,42050,ASK,5600,0.12,955,41401250000,981300
42450,1673879276000000000,42150,50,42650,42050,ASK,2000,0.12,955,41295875000,978800
42450,1673879276000000000,42150,50,42650,42050,ASK,500,0.12,955,41380175000,980800
42450,1673879276000000000,42150,50,42650,42050,ASK,1900,0.12,955,41215790000,976900
42450,1673879256000000000,42150,50,42650,42050,ASK,100,0.12,951,41211575000,976800
42450,1673879230000000000,42150,50,42650,42050,ASK,500,0.12,950,41190500000,976300
42450,1673879182000000000,42100,0,42650,42050,BID,100,0.0,949,41186290000,976200
42450,1673879180000000000,42100,0,42650,42050,BID,200,0.0,948,41177870000,976000
42450,1673879172000000000,42100,0,42650,42050,BID,100,0.0,947,41173660000,975900
42450,1673879144000000000,42100,0,42650,42050,ASK,900,0.0,946,41123140000,974700
42450,1673879144000000000,42100,0,42650,42050,ASK,300,0.0,946,41161030000,975600
42450,1673879142000000000,42100,0,42650,42050,ASK,1000,0.0,944,41081040000,973700
42450,1673879138000000000,42050,-50,42650,42050,BID,100,-0.12,943,41076835000,973600
42450,1673879126000000000,42100,0,42650,42050,ASK,100,0.0,942,41072625000,973500
42450,1673879126000000000,42100,0,42650,42050,ASK,1700,0.0,942,40992635000,971600
42450,1673879126000000000,42100,0,42650,42050,ASK,200,0.0,942,41064205000,973300
42450,1673879083000000000,42100,0,42650,42050,ASK,500,0.0,939,40971585000,971100
42450,1673879083000000000,42100,0,42650,42050,ASK,2000,0.0,939,40887385000,969100
42450,1673879083000000000,42100,0,42650,42050,ASK,2500,0.0,939,40782135000,966600
42450,1673879080000000000,42050,-50,42650,42050,BID,100,-0.12,936,40777930000,966500
42450,1673879078000000000,42100,0,42650,42050,ASK,100,0.0,935,40773720000,966400
42450,1673879054000000000,42100,0,42650,42050,ASK,100,0.0,934,40769510000,966300
42450,1673879053000000000,42050,-50,42650,42050,BID,400,-0.12,933,40752690000,965900
42450,1673879050000000000,42100,0,42650,42050,ASK,500,0.0,932,40731640000,965400
42450,1673879043000000000,42100,0,42650,42050,ASK,500,0.0,931,40550610000,961100
42450,1673879043000000000,42100,0,42650,42050,ASK,500,0.0,931,40529560000,960600
42450,1673879043000000000,42100,0,42650,42050,ASK,200,0.0,931,40310640000,955400
42450,1673879043000000000,42100,0,42650,42050,ASK,2800,0.0,931,40613760000,962600
42450,1673879043000000000,42100,0,42650,42050,ASK,1000,0.0,931,40571660000,961600
42450,1673879043000000000,42100,0,42650,42050,ASK,5000,0.0,930,40319060000,955600
42450,1673879041000000000,42100,0,42650,42050,ASK,2300,0.0,925,40209600000,953000
42450,1673879041000000000,42100,0,42650,42050,ASK,100,0.0,925,40306430000,955300
42450,1673879030000000000,42100,0,42650,42050,ASK,1900,0.0,923,40129610000,951100
42450,1673879024000000000,42100,0,42650,42050,ASK,500,0.0,922,40108560000,950600
42450,1673878992000000000,42100,0,42650,42050,ASK,1000,0.0,921,40066460000,949600
42450,1673878983000000000,42050,-50,42650,42050,BID,100,-0.12,920,40062255000,949500
42450,1673878978000000000,42100,0,42650,42050,ASK,1900,0.0,919,39982265000,947600
42450,1673878956000000000,42100,0,42650,42050,ASK,2400,0.0,918,39881225000,945200
42450,1673878956000000000,42100,0,42650,42050,ASK,1000,0.0,917,39839125000,944200
42450,1673878956000000000,42100,0,42650,42050,ASK,100,0.0,917,39830705000,944000
42450,1673878956000000000,42100,0,42650,42050,ASK,400,0.0,917,39771765000,942600
42450,1673878956000000000,42100,0,42650,42050,ASK,100,0.0,917,39834915000,944100
42450,1673878956000000000,42100,0,42650,42050,ASK,1000,0.0,917,39788605000,943000
42450,1673878945000000000,42050,-50,42650,42050,BID,300,-0.12,912,39759150000,942300
42450,1673878945000000000,42050,-50,42650,42050,BID,200,-0.12,911,39750740000,942100
42450,1673878940000000000,42050,-50,42650,42050,BID,100,-0.12,910,39746535000,942000
42450,1673878905000000000,42050,-50,42650,42050,BID,1000,-0.12,909,39704485000,941000
42450,1673878888000000000,42050,-50,42650,42050,BID,1000,-0.12,908,39662435000,940000
42450,1673878883000000000,42050,-50,42650,42050,BID,100,-0.12,907,39628795000,939200
42450,1673878883000000000,42050,-50,42650,42050,BID,700,-0.12,907,39633000000,939300
42450,1673878883000000000,42050,-50,42650,42050,BID,200,-0.12,907,39620385000,939000
42450,1673878872000000000,42050,-50,42650,42050,BID,100,-0.12,904,39616180000,938900
42450,1673878870000000000,42100,0,42650,42050,ASK,500,0.0,903,39595130000,938400
42450,1673878869000000000,42050,-50,42650,42050,BID,400,-0.12,902,39578310000,938000
42450,1673878869000000000,42050,-50,42650,42050,BID,600,-0.12,902,39553080000,937400
42450,1673878867000000000,42050,-50,42650,42050,BID,1500,-0.12,900,39490005000,935900
42450,1673878865000000000,42050,-50,42650,42050,BID,100,-0.12,899,39485800000,935800
42450,1673878860000000000,42050,-50,42650,42050,BID,2800,-0.12,898,39368060000,933000
42450,1673878860000000000,42050,-50,42650,42050,BID,100,-0.12,898,39363855000,932900
42450,1673878860000000000,42050,-50,42650,42050,BID,100,-0.12,896,39359650000,932800
42450,1673878860000000000,42050,-50,42650,42050,BID,900,-0.12,895,39321805000,931900
42450,1673878860000000000,42050,-50,42650,42050,BID,100,-0.12,895,39317600000,931800
42450,1673878860000000000,42050,-50,42650,42050,BID,100,-0.12,895,39313395000,931700
42450,1673878860000000000,42050,-50,42650,42050,BID,300,-0.12,895,39300780000,931400
