o,t,c,ch,h,l,mb,mv,ra,se,va,vo
15050,1673880319000000000,14300,-650,15200,14250,UNKNOWN,892200,-4.35,8725,198828660000,13578500
15050,1673879417000000000,14400,-550,15200,14250,BID,1000,-3.68,8724,198814260000,13577500
15050,1673879413000000000,14400,-550,15200,14250,BID,1700,-3.68,8723,198785460000,13575500
15050,1673879413000000000,14400,-550,15200,14250,BID,300,-3.68,8723,198809940000,13577200
15050,1673879406000000000,14400,-550,15200,14250,BID,1000,-3.68,8721,198771060000,13574500
15050,1673879404000000000,14400,-550,15200,14250,ASK,6000,-3.68,8720,198681780000,13568300
15050,1673879404000000000,14400,-550,15200,14250,ASK,200,-3.68,8720,198768180000,13574300
15050,1673879404000000000,14400,-550,15200,14250,ASK,500,-3.68,8720,198674580000,13567800
15050,1673879404000000000,14400,-550,15200,14250,ASK,3000,-3.68,8717,198592500000,13562100
15050,1673879404000000000,14400,-550,15200,14250,ASK,500,-3.68,8717,198635700000,13565100
15050,1673879404000000000,14400,-550,15200,14250,ASK,2800,-3.68,8717,198507540000,13556200
15050,1673879404000000000,14400,-550,15200,14250,ASK,3000,-3.68,8717,198549300000,13559100
15050,1673879404000000000,14400,-550,15200,14250,ASK,1800,-3.68,8717,198452820000,13552400
15050,1673879404000000000,14400,-550,15200,14250,ASK,1200,-3.68,8717,198657300000,13566600
15050,1673879404000000000,14400,-550,15200,14250,ASK,1000,-3.68,8717,198642900000,13565600
15050,1673879404000000000,14400,-550,15200,14250,ASK,100,-3.68,8717,198547860000,13559000
15050,1673879404000000000,14400,-550,15200,14250,ASK,2000,-3.68,8717,198478740000,13554200
15050,1673879403000000000,14350,-600,15200,14250,BID,5000,-4.01,8709,198381070000,13547400
15050,1673879403000000000,14400,-550,15200,14250,ASK,900,-3.68,8708,198368110000,13546500
15050,1673879402000000000,14400,-550,15200,14250,ASK,5000,-3.68,8707,198296110000,13541500
15050,1673879401000000000,14400,-550,15200,14250,ASK,300,-3.68,8706,198291790000,13541200
15050,1673879401000000000,14400,-550,15200,14250,ASK,300,-3.68,8706,198287470000,13540900
15050,1673879401000000000,14400,-550,15200,14250,ASK,400,-3.68,8706,198281710000,13540500
15050,1673879400000000000,14400,-550,15200,14250,ASK,500,-3.68,8703,198274510000,13540000
15050,1673879398000000000,14400,-550,15200,14250,ASK,900,-3.68,8702,198260110000,13539000
15050,1673879398000000000,14400,-550,15200,14250,ASK,100,-3.68,8702,198273070000,13539900
15050,1673879398000000000,14350,-600,15200,14250,BID,200,-4.01,8700,198257240000,13538800
15050,1673879395000000000,14400,-550,15200,14250,ASK,200,-3.68,8699,198254360000,13538600
15050,1673879395000000000,14350,-600,15200,14250,BID,1300,-4.01,8698,198235705000,13537300
15050,1673879395000000000,14350,-600,15200,14250,BID,200,-4.01,8698,198231400000,13537000
15050,1673879395000000000,14350,-600,15200,14250,BID,100,-4.01,8698,198234270000,13537200
15050,1673879395000000000,14350,-600,15200,14250,BID,300,-4.01,8698,198227095000,13536700
15050,1673879395000000000,14350,-600,15200,14250,BID,100,-4.01,8694,198225660000,13536600
15050,1673879395000000000,14350,-600,15200,14250,BID,2600,-4.01,8694,198182610000,13533600
15050,1673879395000000000,14350,-600,15200,14250,BID,400,-4.01,8694,198219920000,13536200
15050,1673879394000000000,14350,-600,15200,14250,BID,200,-4.01,8691,198179740000,13533400
15050,1673879393000000000,14350,-600,15200,14250,BID,300,-4.01,8690,198000365000,13520900
15050,1673879393000000000,14350,-600,15200,14250,BID,1000,-4.01,8690,197986015000,13519900
15050,1673879393000000000,14350,-600,15200,14250,BID,6500,-4.01,8690,197892740000,13513400
15050,1673879393000000000,14350,-600,15200,14250,BID,12200,-4.01,8690,198004670000,13521200
15050,1673879392000000000,14400,-550,15200,14250,ASK,100,-3.68,8686,197891300000,13513300
15050,1673879388000000000,14350,-600,15200,14250,BID,100,-4.01,8685,197889865000,13513200
15050,1673879386000000000,14350,-600,15200,14250,BID,100,-4.01,8684,197845380000,13510100
15050,1673879386000000000,14350,-600,15200,14250,BID,3000,-4.01,8684,197846815000,13510200
15050,1673879386000000000,14350,-600,15200,14250,BID,1500,-4.01,8682,197823855000,13508600
15050,1673879386000000000,14350,-600,15200,14250,BID,100,-4.01,8681,197822420000,13508500
15050,1673879386000000000,14350,-600,15200,14250,BID,5000,-4.01,8681,197732015000,13502200
15050,1673879386000000000,14350,-600,15200,14250,BID,100,-4.01,8681,197820985000,13508400
15050,1673879386000000000,14350,-600,15200,14250,BID,500,-4.01,8681,197813810000,13507900
15050,1673879386000000000,14350,-600,15200,14250,BID,500,-4.01,8681,197806635000,13507400
15050,1673879386000000000,14350,-600,15200,14250,BID,200,-4.01,8681,197803765000,13507200
15050,1673879380000000000,14350,-600,15200,14250,BID,1000,-4.01,8675,197717665000,13501200
15050,1673879380000000000,14350,-600,15200,14250,BID,1000,-4.01,8675,197703315000,13500200
15050,1673879380000000000,14400,-550,15200,14250,ASK,500,-3.68,8675,197696115000,13499700
15050,1673879380000000000,14350,-600,15200,14250,BID,200,-4.01,8672,197691810000,13499400
15050,1673879380000000000,14350,-600,15200,14250,BID,100,-4.01,8672,197694680000,13499600
15050,1673879379000000000,14350,-600,15200,14250,BID,200,-4.01,8670,197688940000,13499200
15050,1673879379000000000,14350,-600,15200,14250,BID,1800,-4.01,8669,197663110000,13497400
15050,1673879379000000000,14350,-600,15200,14250,BID,500,-4.01,8668,197653065000,13496700
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8666,197506695000,13486500
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8668,197508130000,13486600
15050,1673879379000000000,14350,-600,15200,14250,BID,500,-4.01,8665,197498085000,13485900
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8668,197660240000,13497200
15050,1673879379000000000,14350,-600,15200,14250,BID,10000,-4.01,8668,197509565000,13486700
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8668,197661675000,13497300
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8665,197495215000,13485700
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8665,197496650000,13485800
15050,1673879379000000000,14350,-600,15200,14250,BID,100,-4.01,8664,197505260000,13486400
