o,t,c,ch,h,l,mb,mv,ra,se,va,vo
14650,1673880319000000000,14000,-650,14850,13950,UNKNOWN,927200,-4.44,4596,123026130000,8551900
14650,1673879409000000000,14300,-350,14850,13950,BID,15700,-2.39,4595,122801620000,8536200
14650,1673879407000000000,14300,-350,14850,13950,BID,2800,-2.39,4594,122761580000,8533400
14650,1673879403000000000,14300,-350,14850,13950,BID,1000,-2.39,4593,122747280000,8532400
14650,1673879402000000000,14350,-300,14850,13950,ASK,400,-2.05,4592,122741540000,8532000
14650,1673879402000000000,14350,-300,14850,13950,ASK,100,-2.05,4592,122740105000,8531900
14650,1673879401000000000,14300,-350,14850,13950,BID,1900,-2.39,4590,122712935000,8530000
14650,1673879393000000000,14300,-350,14850,13950,BID,1000,-2.39,4589,122698635000,8529000
14650,1673879390000000000,14300,-350,14850,13950,BID,1300,-2.39,4588,122680045000,8527700
14650,1673879383000000000,14300,-350,14850,13950,BID,500,-2.39,4587,122652875000,8525800
14650,1673879383000000000,14300,-350,14850,13950,BID,1400,-2.39,4587,122660025000,8526300
14650,1673879378000000000,14300,-350,14850,13950,BID,10000,-2.39,4585,122509875000,8515800
14650,1673879377000000000,14300,-350,14850,13950,ASK,500,-2.39,4584,122502725000,8515300
14650,1673879377000000000,14300,-350,14850,13950,ASK,2000,-2.39,4583,122474125000,8513300
14650,1673879377000000000,14300,-350,14850,13950,ASK,7300,-2.39,4583,122369735000,8506000
14650,1673879377000000000,14250,-400,14850,13950,ASK,4600,-2.73,4581,122304185000,8501400
14650,1673879377000000000,14250,-400,14850,13950,ASK,400,-2.73,4580,122298485000,8501000
14650,1673879377000000000,14250,-400,14850,13950,ASK,100,-2.73,4580,122297060000,8500900
14650,1673879361000000000,14200,-450,14850,13950,BID,200,-3.07,4578,122294220000,8500700
14650,1673879361000000000,14200,-450,14850,13950,BID,200,-3.07,4577,122291380000,8500500
14650,1673879355000000000,14250,-400,14850,13950,BID,100,-2.73,4576,122289955000,8500400
14650,1673879344000000000,14300,-350,14850,13950,BID,2700,-2.39,4575,122251345000,8497700
14650,1673879337000000000,14300,-350,14850,13950,BID,3500,-2.39,4574,122201295000,8494200
14650,1673879332000000000,14300,-350,14850,13950,BID,400,-2.39,4573,122195575000,8493800
14650,1673879329000000000,14300,-350,14850,13950,BID,500,-2.39,4572,122188425000,8493300
