o,t,c,ch,h,l,mb,mv,ra,se,va,vo
37300,1673880318000000000,37050,-50,37500,36500,UNKNOWN,53200,-0.13,738,23201580000,629000
37300,1673879386000000000,36900,-200,37500,36500,ASK,2300,-0.54,737,23116710000,626700
37300,1673879386000000000,36900,-200,37500,36500,ASK,800,-0.54,736,23087190000,625900
37300,1673879386000000000,36800,-300,37500,36500,ASK,100,-0.81,736,23083510000,625800
37300,1673879386000000000,36750,-350,37500,36500,ASK,6800,-0.94,736,22833610000,619000
37300,1673879378000000000,36700,-400,37500,36500,BID,200,-1.08,733,22826270000,618800
37300,1673879362000000000,36700,-400,37500,36500,BID,200,-1.08,732,22818930000,618600
37300,1673879356000000000,36700,-400,37500,36500,BID,200,-1.08,731,22811590000,618400
37300,1673879352000000000,36700,-400,37500,36500,BID,200,-1.08,730,22804250000,618200
37300,1673879341000000000,36750,-350,37500,36500,ASK,100,-0.94,729,22800575000,618100
37300,1673879317000000000,36750,-350,37500,36500,ASK,100,-0.94,728,22796900000,618000
37300,1673879315000000000,36750,-350,37500,36500,BID,13000,-0.94,727,22319150000,605000
37300,1673879246000000000,36750,-350,37500,36500,ASK,100,-0.94,726,22315475000,604900
37300,1673879246000000000,36750,-350,37500,36500,ASK,100,-0.94,725,22311800000,604800
37300,1673879242000000000,36750,-350,37500,36500,ASK,1500,-0.94,724,22256675000,603300
37300,1673879241000000000,36750,-350,37500,36500,ASK,3500,-0.94,723,22128050000,599800
37300,1673879228000000000,36800,-300,37500,36500,BID,300,-0.81,722,22117010000,599500
37300,1673879212000000000,36800,-300,37500,36500,ASK,100,-0.81,721,22113330000,599400
37300,1673879211000000000,36800,-300,37500,36500,ASK,400,-0.81,720,22098610000,599000
37300,1673879211000000000,36800,-300,37500,36500,ASK,200,-0.81,720,22091250000,598800
37300,1673879211000000000,36800,-300,37500,36500,ASK,4300,-0.81,718,21907250000,593800
37300,1673879211000000000,36800,-300,37500,36500,ASK,700,-0.81,718,22065490000,598100
37300,1673879180000000000,36800,-300,37500,36500,ASK,1000,-0.81,716,21870450000,592800
37300,1673879180000000000,36800,-300,37500,36500,ASK,200,-0.81,716,21863090000,592600
37300,1673879152000000000,36800,-300,37500,36500,ASK,100,-0.81,714,21859410000,592500
37300,1673879131000000000,36800,-300,37500,36500,ASK,100,-0.81,713,21855730000,592400
37300,1673879074000000000,36800,-300,37500,36500,ASK,1000,-0.81,712,21818930000,591400
37300,1673879069000000000,36800,-300,37500,36500,ASK,100,-0.81,711,21815250000,591300
37300,1673879057000000000,36800,-300,37500,36500,ASK,100,-0.81,710,21811570000,591200
37300,1673879043000000000,36800,-300,37500,36500,ASK,1300,-0.81,709,21763730000,589900
37300,1673879034000000000,36750,-350,37500,36500,ASK,300,-0.94,708,21752705000,589600
37300,1673879030000000000,36750,-350,37500,36500,ASK,200,-0.94,707,21745355000,589400
37300,1673879026000000000,36750,-350,37500,36500,ASK,100,-0.94,706,21723305000,588800
37300,1673879026000000000,36750,-350,37500,36500,ASK,200,-0.94,706,21715955000,588600
37300,1673879026000000000,36750,-350,37500,36500,ASK,500,-0.94,706,21726980000,588900
37300,1673878978000000000,36750,-350,37500,36500,ASK,200,-0.94,703,21708605000,588400
37300,1673878963000000000,36750,-350,37500,36500,ASK,100,-0.94,702,21704930000,588300
37300,1673878946000000000,36500,-600,37500,36500,BID,3000,-1.62,701,21595430000,585300
37300,1673878915000000000,36500,-600,37500,36500,BID,400,-1.62,700,21580830000,584900
37300,1673878907000000000,36500,-600,37500,36500,BID,400,-1.62,699,21566230000,584500
37300,1673878907000000000,36550,-550,37500,36500,BID,100,-1.48,699,21562575000,584400
37300,1673878889000000000,36750,-350,37500,36500,ASK,500,-0.94,697,21544200000,583900
37300,1673878868000000000,36750,-350,37500,36500,ASK,100,-0.94,696,21540525000,583800
37300,1673878857000000000,36550,-550,37500,36500,ASK,400,-1.48,695,21525905000,583400
37300,1673878856000000000,36550,-550,37500,36500,ASK,100,-1.48,694,21522250000,583300
37300,1673878850000000000,36550,-550,37500,36500,ASK,200,-1.48,693,21514940000,583100
37300,1673878849000000000,36550,-550,37500,36500,ASK,100,-1.48,692,21511285000,583000
37300,1673878847000000000,36500,-600,37500,36500,BID,100,-1.62,691,21452885000,581400
37300,1673878847000000000,36500,-600,37500,36500,BID,400,-1.62,691,21255785000,576000
37300,1673878847000000000,36500,-600,37500,36500,BID,1500,-1.62,691,21456535000,581500
37300,1673878847000000000,36500,-600,37500,36500,BID,5000,-1.62,691,21270385000,576400
37300,1673878843000000000,36550,-550,37500,36500,ASK,500,-1.48,687,21237510000,575500
37300,1673878842000000000,36500,-600,37500,36500,BID,800,-1.62,686,21208310000,574700
37300,1673878821000000000,36500,-600,37500,36500,BID,3800,-1.62,685,21069610000,570900
37300,1673878821000000000,36500,-600,37500,36500,BID,100,-1.62,685,21065960000,570800
37300,1673878821000000000,36500,-600,37500,36500,BID,5000,-1.62,683,20799510000,563500
37300,1673878821000000000,36500,-600,37500,36500,BID,1000,-1.62,683,21029460000,569800
37300,1673878821000000000,36500,-600,37500,36500,BID,500,-1.62,683,21011210000,569300
37300,1673878821000000000,36500,-600,37500,36500,BID,800,-1.62,683,20982010000,568500
37300,1673878820000000000,36550,-550,37500,36550,ASK,1000,-1.48,679,20762960000,562500
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,678,20755650000,562300
37300,1673878818000000000,36550,-550,37500,36550,ASK,100,-1.48,678,20759305000,562400
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,678,20751995000,562200
37300,1673878818000000000,36550,-550,37500,36550,BID,1000,-1.48,678,20697170000,560700
37300,1673878818000000000,36550,-550,37500,36550,BID,500,-1.48,678,20733720000,561700
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,673,20693515000,560600
37300,1673878818000000000,36550,-550,37500,36550,BID,2000,-1.48,672,20609450000,558300
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,672,20686205000,560400
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,672,20605795000,558200
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,672,20689860000,560500
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,672,20682550000,560300
37300,1673878818000000000,36550,-550,37500,36550,BID,200,-1.48,672,20598485000,558000
37300,1673878818000000000,36550,-550,37500,36550,BID,2000,-1.48,668,20521730000,555900
37300,1673878818000000000,36550,-550,37500,36550,BID,100,-1.48,672,20594830000,557900
37300,1673878818000000000,36550,-550,37500,36550,BID,3000,-1.48,667,20412080000,552900
37300,1673878818000000000,36550,-550,37500,36550,BID,1000,-1.48,663,20375530000,551900
37300,1673878774000000000,36800,-300,37500,36550,ASK,100,-0.81,662,20371850000,551800
37300,1673878762000000000,36600,-500,37500,36550,BID,3700,-1.35,661,20185190000,546700
37300,1673878762000000000,36600,-500,37500,36550,BID,200,-1.35,661,20364530000,551600
37300,1673878762000000000,36600,-500,37500,36550,BID,1200,-1.35,661,20320610000,550400
37300,1673878762000000000,36600,-500,37500,36550,BID,100,-1.35,661,20108330000,544600
37300,1673878762000000000,36600,-500,37500,36550,BID,2000,-1.35,661,20111990000,544700
37300,1673878762000000000,36600,-500,37500,36550,BID,1000,-1.35,659,20071730000,543600
37300,1673878762000000000,36600,-500,37500,36550,BID,100,-1.35,655,19998530000,541600
37300,1673878762000000000,36600,-500,37500,36550,BID,1800,-1.35,655,20002190000,541700
37300,1673878762000000000,36600,-500,37500,36550,BID,100,-1.35,655,20068070000,543500
37300,1673878762000000000,36600,-500,37500,36550,BID,400,-1.35,655,19983890000,541200
37300,1673878762000000000,36600,-500,37500,36550,BID,19900,-1.35,655,19251890000,521200
37300,1673878762000000000,36600,-500,37500,36550,BID,100,-1.35,655,19980230000,541100
37300,1673878760000000000,36650,-450,37500,36550,BID,100,-1.21,649,19248225000,521100
37300,1673878760000000000,36650,-450,37500,36550,BID,500,-1.21,649,19229900000,520600
37300,1673878760000000000,36650,-450,37500,36550,BID,500,-1.21,647,19211575000,520100
37300,1673878760000000000,36650,-450,37500,36550,BID,10000,-1.21,646,18845075000,510100
37300,1673878760000000000,36650,-450,37500,36550,BID,3600,-1.21,645,18709470000,506400
37300,1673878760000000000,36650,-450,37500,36550,BID,100,-1.21,645,18841410000,510000
37300,1673878760000000000,36650,-450,37500,36550,BID,600,-1.21,645,18687480000,505800
37300,1673878755000000000,36700,-400,37500,36550,BID,5000,-1.08,642,18503980000,500800
37300,1673878755000000000,36700,-400,37500,36550,BID,500,-1.08,642,18485630000,500300
37300,1673878745000000000,36800,-300,37500,36550,BID,200,-0.81,640,18478270000,500100
37300,1673878745000000000,36800,-300,37500,36550,BID,4300,-0.81,640,18320030000,495800
