o,t,c,ch,h,l,mb,mv,ra,se,va,vo
87200,1673880318000000000,86300,300,87200,86100,UNKNOWN,16300,0.35,348,15699510000,181000
87200,1673879405000000000,86600,600,87200,86100,ASK,100,0.7,347,15690850000,180900
87200,1673879405000000000,86600,600,87200,86100,ASK,200,0.7,347,15673530000,180700
87200,1673879354000000000,86500,500,87200,86100,BID,800,0.58,345,15595680000,179800
87200,1673879354000000000,86500,500,87200,86100,BID,100,0.58,345,15664880000,180600
87200,1673879348000000000,86600,600,87200,86100,ASK,200,0.7,343,15569700000,179500
87200,1673879348000000000,86600,600,87200,86100,ASK,100,0.7,343,15587020000,179700
87200,1673879337000000000,86600,600,87200,86100,ASK,100,0.7,341,15561040000,179400
87200,1673879327000000000,86600,600,87200,86100,ASK,300,0.7,340,15535060000,179100
87200,1673879268000000000,86600,600,87200,86100,ASK,200,0.7,339,15517740000,178900
87200,1673879220000000000,86500,500,87200,86100,BID,200,0.58,338,15500440000,178700
87200,1673879178000000000,86500,500,87200,86100,BID,200,0.58,337,15457190000,178200
87200,1673879178000000000,86500,500,87200,86100,BID,300,0.58,337,15474490000,178400
87200,1673879178000000000,86500,500,87200,86100,BID,100,0.58,337,15448540000,178100
87200,1673879178000000000,86500,500,87200,86100,BID,100,0.58,337,15439890000,178000
87200,1673879114000000000,86500,500,87200,86100,BID,100,0.58,333,15431240000,177900
87200,1673879108000000000,86600,600,87200,86100,ASK,100,0.7,332,15422580000,177800
87200,1673879091000000000,86500,500,87200,86100,BID,3000,0.58,331,15137130000,174500
87200,1673879091000000000,86500,500,87200,86100,BID,2700,0.58,331,14903580000,171800
87200,1673879091000000000,86500,500,87200,86100,BID,300,0.58,331,15396630000,177500
87200,1673879071000000000,86600,600,87200,86100,ASK,100,0.7,328,14894920000,171700
87200,1673879071000000000,86600,600,87200,86100,ASK,300,0.7,328,14868940000,171400
87200,1673879067000000000,86600,600,87200,86100,ASK,1000,0.7,326,14782340000,170400
87200,1673879062000000000,86600,600,87200,86100,ASK,300,0.7,325,14756360000,170100
87200,1673878981000000000,86500,500,87200,86100,BID,200,0.58,324,14739060000,169900
87200,1673878891000000000,86500,500,87200,86100,BID,200,0.58,323,14721760000,169700
87200,1673878827000000000,86500,500,87200,86100,BID,1000,0.58,322,14635260000,168700
87200,1673878809000000000,86500,500,87200,86100,BID,100,0.58,321,14617960000,168500
87200,1673878809000000000,86500,500,87200,86100,BID,100,0.58,321,14609310000,168400
87200,1673878809000000000,86500,500,87200,86100,BID,100,0.58,321,14626610000,168600
87200,1673878774000000000,86600,600,87200,86100,BID,100,0.7,318,14591990000,168200
87200,1673878774000000000,86600,600,87200,86100,BID,100,0.7,318,14600650000,168300
87200,1673878774000000000,86600,600,87200,86100,BID,100,0.7,318,14583330000,168100
87200,1673878774000000000,86600,600,87200,86100,BID,4200,0.7,318,14219610000,163900
87200,1673878774000000000,86600,600,87200,86100,BID,3900,0.7,317,13881870000,160000
87200,1673878733000000000,86600,600,87200,86100,BID,200,0.7,313,13864550000,159800
87200,1673878729000000000,86700,700,87200,86100,ASK,1100,0.81,312,13769180000,158700
87200,1673878719000000000,86700,700,87200,86100,ASK,5400,0.81,311,13301000000,153300
87200,1673878608000000000,86600,600,87200,86100,BID,100,0.7,310,13292340000,153200
87200,1673878608000000000,86600,600,87200,86100,BID,100,0.7,310,13283680000,153100
87200,1673878601000000000,86600,600,87200,86100,BID,1400,0.7,308,13162440000,151700
87200,1673878486000000000,86700,700,87200,86100,ASK,700,0.81,307,13101750000,151000
87200,1673878318000000000,86600,600,87200,86100,BID,900,0.7,306,13023810000,150100
87200,1673878298000000000,86700,700,87200,86100,ASK,400,0.81,305,12989130000,149700
87200,1673878298000000000,86700,700,87200,86100,ASK,300,0.81,305,12963120000,149400
87200,1673878272000000000,86600,600,87200,86100,BID,1700,0.7,303,12815900000,147700
87200,1673878267000000000,86700,700,87200,86100,ASK,1200,0.81,302,12711860000,146500
87200,1673878112000000000,86700,700,87200,86100,ASK,100,0.81,301,12703190000,146400
87200,1673877951000000000,86700,700,87200,86100,ASK,2000,0.81,300,12529790000,144400
87200,1673877795000000000,86600,600,87200,86100,BID,100,0.7,299,12521130000,144300
87200,1673877738000000000,86600,600,87200,86100,ASK,100,0.7,298,12512470000,144200
87200,1673877607000000000,86500,500,87200,86100,BID,100,0.58,297,12495170000,144000
87200,1673877607000000000,86500,500,87200,86100,BID,100,0.58,297,12503820000,144100
87200,1673877511000000000,86500,500,87200,86100,BID,300,0.58,295,12469220000,143700
87200,1673877472000000000,86500,500,87200,86100,BID,300,0.58,294,12443270000,143400
87200,1673877286000000000,86500,500,87200,86100,BID,300,0.58,293,12417320000,143100
87200,1673877286000000000,86500,500,87200,86100,BID,100,0.58,292,12408670000,143000
87200,1673877286000000000,86500,500,87200,86100,BID,200,0.58,292,12391370000,142800
87200,1673877286000000000,86500,500,87200,86100,BID,2500,0.58,292,12166470000,140200
87200,1673877286000000000,86500,500,87200,86100,BID,100,0.58,292,12382720000,142700
87200,1673877286000000000,86500,500,87200,86100,BID,1800,0.58,288,12010770000,138400
87200,1673877232000000000,86500,500,87200,86100,BID,200,0.58,287,11993470000,138200
87200,1673877232000000000,86500,500,87200,86100,BID,800,0.58,286,11924270000,137400
87200,1673877231000000000,86500,500,87200,86100,BID,300,0.58,285,11881020000,136900
87200,1673877231000000000,86500,500,87200,86100,BID,200,0.58,285,11906970000,137200
87200,1673877231000000000,86500,500,87200,86100,BID,500,0.58,285,11837770000,136400
87200,1673876934000000000,86500,500,87200,86100,BID,100,0.58,282,11829120000,136300
87200,1673876934000000000,86500,500,87200,86100,BID,700,0.58,282,11768570000,135600
87200,1673876908000000000,86500,500,87200,86100,BID,1000,0.58,280,11682070000,134600
87200,1673876831000000000,86600,600,87200,86100,BID,200,0.7,279,11664750000,134400
87200,1673876651000000000,86600,600,87200,86100,ASK,100,0.7,278,11656090000,134300
87200,1673876511000000000,86500,500,87200,86100,ASK,200,0.58,277,11552290000,133100
87200,1673876511000000000,86500,500,87200,86100,ASK,1000,0.58,277,11569590000,133300
87200,1673876511000000000,86500,500,87200,86100,ASK,400,0.58,277,11509040000,132600
87200,1673876511000000000,86500,500,87200,86100,ASK,700,0.58,275,11448490000,131900
87200,1673876511000000000,86500,500,87200,86100,ASK,100,0.58,277,11543640000,133000
87200,1673876511000000000,86500,500,87200,86100,ASK,900,0.58,275,11370640000,131000
87200,1673876502000000000,86500,500,87200,86100,ASK,1000,0.58,271,11284140000,130000
87200,1673876469000000000,86500,500,87200,86100,ASK,200,0.58,270,11266840000,129800
