o,t,c,ch,h,l,mb,mv,ra,se,va,vo
180900,1673880318000000000,185900,6100,186400,179800,UNKNOWN,9000,3.39,584,38322460000,209100
180900,1673879363000000000,185600,5800,186400,179800,BID,100,3.23,583,38303900000,209000
180900,1673879353000000000,186000,6200,186400,179800,ASK,300,3.45,582,38248100000,208700
180900,1673879353000000000,186000,6200,186400,179800,ASK,100,3.45,582,38210900000,208500
180900,1673879353000000000,186000,6200,186400,179800,ASK,100,3.45,582,38229500000,208600
180900,1673879351000000000,185600,5800,186400,179800,BID,100,3.23,579,38192340000,208400
180900,1673879344000000000,186000,6200,186400,179800,ASK,200,3.45,578,38155140000,208200
180900,1673879344000000000,186000,6200,186400,179800,ASK,300,3.45,577,38099340000,207900
180900,1673879341000000000,186000,6200,186400,179800,ASK,200,3.45,576,38062140000,207700
180900,1673879281000000000,186000,6200,186400,179800,ASK,100,3.45,575,38043540000,207600
180900,1673879252000000000,185800,6000,186400,179800,ASK,1000,3.34,574,37857740000,206600
180900,1673879248000000000,185700,5900,186400,179800,BID,100,3.28,573,37839170000,206500
180900,1673879242000000000,185800,6000,186400,179800,ASK,1000,3.34,572,37597630000,205200
180900,1673879242000000000,185800,6000,186400,179800,ASK,300,3.34,572,37783430000,206200
180900,1673879242000000000,185800,6000,186400,179800,ASK,200,3.34,572,37560470000,205000
180900,1673879232000000000,185700,5900,186400,179800,ASK,1000,3.28,569,37374770000,204000
180900,1673879232000000000,185700,5900,186400,179800,ASK,400,3.28,569,37300490000,203600
180900,1673879231000000000,185700,5900,186400,179800,ASK,100,3.28,567,37281920000,203500
180900,1673879223000000000,185500,5700,186400,179800,BID,500,3.17,566,37189170000,203000
180900,1673879192000000000,185500,5700,186400,179800,BID,1000,3.17,565,37003670000,202000
180900,1673879140000000000,185700,5900,186400,179800,ASK,500,3.28,564,36910820000,201500
180900,1673879120000000000,185700,5900,186400,179800,ASK,100,3.28,563,36892250000,201400
180900,1673879104000000000,185700,5900,186400,179800,ASK,100,3.28,562,36873680000,201300
180900,1673879078000000000,185500,5700,186400,179800,BID,1000,3.17,561,36613980000,199900
180900,1673879078000000000,185500,5700,186400,179800,BID,400,3.17,561,36799480000,200900
180900,1673879078000000000,185500,5700,186400,179800,BID,100,3.17,561,36595430000,199800
180900,1673879043000000000,185700,5900,186400,179800,ASK,300,3.28,558,36539720000,199500
180900,1673879035000000000,185800,6000,186400,179800,ASK,800,3.34,557,36391080000,198700
180900,1673879026000000000,185800,6000,186400,179800,ASK,500,3.34,556,36298180000,198200
180900,1673879015000000000,185800,6000,186400,179800,ASK,400,3.34,555,36223860000,197800
180900,1673879011000000000,185800,6000,186400,179800,ASK,100,3.34,554,36205280000,197700
180900,1673879010000000000,185800,6000,186400,179800,ASK,100,3.34,553,36186700000,197600
180900,1673878979000000000,185800,6000,186400,179800,ASK,100,3.34,552,36168120000,197500
180900,1673878938000000000,185800,6000,186400,179800,ASK,100,3.34,551,36149540000,197400
180900,1673878931000000000,185800,6000,186400,179800,ASK,100,3.34,550,36130960000,197300
180900,1673878930000000000,185500,5700,186400,179800,BID,900,3.17,549,35964010000,196400
180900,1673878930000000000,185500,5700,186400,179800,BID,100,3.17,549,35945460000,196300
180900,1673878926000000000,185500,5700,186400,179800,BID,1000,3.17,547,35759960000,195300
180900,1673878908000000000,185600,5800,186400,179800,BID,1000,3.23,546,35574360000,194300
180900,1673878900000000000,185800,6000,186400,179800,ASK,200,3.34,545,35537200000,194100
180900,1673878850000000000,185800,6000,186400,179800,ASK,100,3.34,544,35518620000,194000
180900,1673878848000000000,185500,5700,186400,179800,BID,1000,3.17,543,35333120000,193000
180900,1673878839000000000,185500,5700,186400,179800,BID,800,3.17,542,35184720000,192200
180900,1673878839000000000,185600,5800,186400,179800,BID,200,3.23,541,35147600000,192000
180900,1673878813000000000,185500,5700,186400,179800,BID,1100,3.17,540,34943550000,190900
