o,t,c,ch,h,l,mb,mv,ra,se,va,vo
19700,1673880319000000000,19200,-100,19850,19100,UNKNOWN,877500,-0.52,5895,262724560000,13449700
19700,1673879414000000000,19200,-100,19850,19100,ASK,1000,-0.52,5894,262705360000,13448700
19700,1673879410000000000,19200,-100,19850,19100,ASK,300,-0.52,5893,262699600000,13448400
19700,1673879405000000000,19200,-100,19850,19100,ASK,500,-0.52,5892,262690000000,13447900
19700,1673879402000000000,19200,-100,19850,19100,BID,300,-0.52,5891,262684240000,13447600
19700,1673879402000000000,19200,-100,19850,19100,BID,2800,-0.52,5890,262630480000,13444800
19700,1673879401000000000,19200,-100,19850,19100,BID,100,-0.52,5889,262628560000,13444700
19700,1673879398000000000,19250,-50,19850,19100,ASK,500,-0.26,5888,262618935000,13444200
19700,1673879397000000000,19200,-100,19850,19100,ASK,100,-0.52,5887,262617015000,13444100
19700,1673879396000000000,19200,-100,19850,19100,ASK,400,-0.52,5886,262609335000,13443700
19700,1673879395000000000,19200,-100,19850,19100,ASK,200,-0.52,5885,262605495000,13443500
19700,1673879395000000000,19200,-100,19850,19100,ASK,100,-0.52,5884,262603575000,13443400
19700,1673879391000000000,19200,-100,19850,19100,ASK,2100,-0.52,5883,262507575000,13438400
19700,1673879391000000000,19200,-100,19850,19100,ASK,2200,-0.52,5883,262561335000,13441200
19700,1673879391000000000,19200,-100,19850,19100,ASK,700,-0.52,5883,262547895000,13440500
19700,1673879390000000000,19200,-100,19850,19100,ASK,5000,-0.52,5880,262411575000,13433400
19700,1673879389000000000,19200,-100,19850,19100,ASK,2000,-0.52,5879,262373175000,13431400
19700,1673879389000000000,19200,-100,19850,19100,ASK,2000,-0.52,5878,262334775000,13429400
19700,1673879387000000000,19200,-100,19850,19100,ASK,2000,-0.52,5877,262296375000,13427400
19700,1673879385000000000,19200,-100,19850,19100,BID,200,-0.52,5876,262234935000,13424200
19700,1673879385000000000,19200,-100,19850,19100,BID,3000,-0.52,5876,262238775000,13424400
19700,1673879385000000000,19200,-100,19850,19100,BID,2000,-0.52,5876,262196535000,13422200
19700,1673879385000000000,19200,-100,19850,19100,BID,100,-0.52,5874,262194615000,13422100
19700,1673879385000000000,19200,-100,19850,19100,BID,10000,-0.52,5872,262002615000,13412100
