o,t,c,ch,h,l,mb,mv,ra,se,va,vo
25150,1673880320000000000,25300,350,25450,24950,UNKNOWN,568300,1.4,5787,322705800000,12785200
25150,1673879408000000000,25350,400,25450,24950,ASK,100,1.6,5786,322652565000,12783100
25150,1673879408000000000,25350,400,25450,24950,ASK,1000,1.6,5785,322627215000,12782100
25150,1673879408000000000,25350,400,25450,24950,ASK,2000,1.6,5786,322655100000,12783200
25150,1673879408000000000,25300,350,25450,24950,ASK,500,1.4,5785,322579145000,12780200
25150,1673879408000000000,25300,350,25450,24950,ASK,1400,1.4,5785,322591795000,12780700
25150,1673879406000000000,25300,350,25450,24950,BID,1600,1.4,5781,322488065000,12776600
25150,1673879406000000000,25300,350,25450,24950,BID,900,1.4,5781,322465295000,12775700
25150,1673879406000000000,25300,350,25450,24950,ASK,2000,1.4,5781,322528545000,12778200
25150,1673879404000000000,25300,350,25450,24950,BID,1200,1.4,5778,322434935000,12774500
25150,1673879404000000000,25300,350,25450,24950,BID,500,1.4,5777,322422285000,12774000
25150,1673879403000000000,25300,350,25450,24950,BID,1000,1.4,5776,322396985000,12773000
25150,1673879399000000000,25300,350,25450,24950,BID,2000,1.4,5775,322346385000,12771000
25150,1673879398000000000,25300,350,25450,24950,BID,20000,1.4,5774,321840385000,12751000
25150,1673879397000000000,25300,350,25450,24950,BID,20000,1.4,5773,321334385000,12731000
25150,1673879395000000000,25300,350,25450,24950,BID,5000,1.4,5772,321207885000,12726000
25150,1673879392000000000,25300,350,25450,24950,ASK,500,1.4,5771,321195235000,12725500
25150,1673879392000000000,25300,350,25450,24950,ASK,500,1.4,5770,321182585000,12725000
25150,1673879392000000000,25300,350,25450,24950,ASK,1000,1.4,5770,321025725000,12718800
25150,1673879392000000000,25300,350,25450,24950,ASK,10000,1.4,5770,320772725000,12708800
25150,1673879392000000000,25300,350,25450,24950,ASK,200,1.4,5770,321051025000,12719800
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5770,320770195000,12708700
25150,1673879392000000000,25300,350,25450,24950,ASK,5000,1.4,5770,321056085000,12720000
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5764,320641165000,12703600
25150,1673879392000000000,25300,350,25450,24950,ASK,5000,1.4,5764,320643695000,12703700
25150,1673879392000000000,25300,350,25450,24950,ASK,3300,1.4,5762,320557675000,12700300
25150,1673879392000000000,25300,350,25450,24950,ASK,1000,1.4,5761,320532375000,12699300
25150,1673879392000000000,25300,350,25450,24950,ASK,5000,1.4,5761,319743015000,12668100
25150,1673879392000000000,25300,350,25450,24950,ASK,3000,1.4,5761,319897345000,12674200
25150,1673879392000000000,25300,350,25450,24950,ASK,2000,1.4,5761,320481775000,12697300
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5761,320479245000,12697200
25150,1673879392000000000,25300,350,25450,24950,ASK,20000,1.4,5760,319973245000,12677200
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5760,319894815000,12674100
25150,1673879392000000000,25300,350,25450,24950,ASK,500,1.4,5753,319727835000,12667500
25150,1673879392000000000,25300,350,25450,24950,ASK,1000,1.4,5760,319869515000,12673100
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5753,319740485000,12668000
25150,1673879392000000000,25300,350,25450,24950,ASK,4000,1.4,5751,319626635000,12663500
25150,1673879392000000000,25300,350,25450,24950,ASK,20000,1.4,5751,319120635000,12643500
25150,1673879392000000000,25300,350,25450,24950,ASK,500,1.4,5751,319107985000,12643000
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5751,319105455000,12642900
25150,1673879392000000000,25300,350,25450,24950,ASK,500,1.4,5751,318333805000,12612400
25150,1673879392000000000,25300,350,25450,24950,ASK,30000,1.4,5751,318346455000,12612900
25150,1673879392000000000,25300,350,25450,24950,ASK,2800,1.4,5751,318262965000,12609600
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5751,318260435000,12609500
25150,1673879392000000000,25300,350,25450,24950,ASK,500,1.4,5746,318247785000,12609000
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5743,318245255000,12608900
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5740,318227545000,12608200
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5741,318237665000,12608600
25150,1673879392000000000,25300,350,25450,24950,ASK,5000,1.4,5740,317974545000,12598200
25150,1673879392000000000,25300,350,25450,24950,ASK,300,1.4,5741,318230075000,12608300
25150,1673879392000000000,25300,350,25450,24950,ASK,200,1.4,5741,318240195000,12608700
25150,1673879392000000000,25300,350,25450,24950,ASK,1000,1.4,5741,318202245000,12607200
25150,1673879392000000000,25300,350,25450,24950,ASK,2000,1.4,5741,318151645000,12605200
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5740,317946715000,12597100
25150,1673879392000000000,25300,350,25450,24950,ASK,1000,1.4,5739,317949245000,12597200
25150,1673879392000000000,25300,350,25450,24950,ASK,2000,1.4,5739,318101045000,12603200
25150,1673879392000000000,25300,350,25450,24950,ASK,1000,1.4,5731,317918885000,12596000
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5731,317683595000,12586700
25150,1673879392000000000,25300,350,25450,24950,ASK,200,1.4,5731,317787325000,12590800
25150,1673879392000000000,25300,350,25450,24950,ASK,100,1.4,5731,317944185000,12597000
25150,1673879392000000000,25300,350,25450,24950,ASK,5000,1.4,5731,317792385000,12591000
25150,1673879392000000000,25300,350,25450,24950,ASK,2000,1.4,5731,317686125000,12586800
