o,t,c,ch,h,l,mb,mv,ra,se,va,vo
28100,1673880319000000000,27800,-50,28300,27800,UNKNOWN,157800,-0.18,1343,74311955000,2652400
28100,1673879406000000000,27800,-50,28300,27800,BID,700,-0.18,1342,74292495000,2651700
28100,1673879396000000000,27800,-50,28300,27800,BID,1500,-0.18,1341,74250795000,2650200
28100,1673879380000000000,27850,0,28300,27800,ASK,1000,0.0,1340,74222945000,2649200
28100,1673879372000000000,27850,0,28300,27800,ASK,100,0.0,1339,74220160000,2649100
28100,1673879369000000000,27850,0,28300,27800,ASK,200,0.0,1338,74214590000,2648900
28100,1673879368000000000,27850,0,28300,27800,ASK,500,0.0,1337,74200665000,2648400
28100,1673879362000000000,27800,-50,28300,27800,BID,14900,-0.18,1336,73755865000,2632400
28100,1673879362000000000,27800,-50,28300,27800,BID,1100,-0.18,1336,74170085000,2647300
28100,1673879360000000000,27850,0,28300,27800,ASK,10000,0.0,1334,73477365000,2622400
28100,1673879359000000000,27850,0,28300,27800,ASK,100,0.0,1333,73474580000,2622300
28100,1673879353000000000,27850,0,28300,27800,ASK,2000,0.0,1332,73418880000,2620300
28100,1673879349000000000,27850,0,28300,27800,ASK,2400,0.0,1331,73352040000,2617900
28100,1673879349000000000,27850,0,28300,27800,ASK,17600,0.0,1331,72861880000,2600300
28100,1673879336000000000,27850,0,28300,27800,ASK,100,0.0,1329,72859095000,2600200
28100,1673879328000000000,27800,-50,28300,27800,BID,100,-0.18,1328,72856315000,2600100
28100,1673879328000000000,27800,-50,28300,27800,BID,100,-0.18,1328,72853535000,2600000
28100,1673879328000000000,27800,-50,28300,27800,BID,800,-0.18,1326,72831295000,2599200
28100,1673879309000000000,27800,-50,28300,27800,BID,2000,-0.18,1325,72770135000,2597000
28100,1673879309000000000,27800,-50,28300,27800,BID,2000,-0.18,1325,72714535000,2595000
28100,1673879309000000000,27800,-50,28300,27800,BID,500,-0.18,1325,72700635000,2594500
28100,1673879309000000000,27800,-50,28300,27800,BID,300,-0.18,1325,72553295000,2589200
28100,1673879309000000000,27800,-50,28300,27800,BID,200,-0.18,1325,72825735000,2599000
28100,1673879309000000000,27800,-50,28300,27800,BID,5000,-0.18,1324,72561635000,2589500
28100,1673879300000000000,27850,0,28300,27800,ASK,100,0.0,1319,72550510000,2589100
28100,1673879295000000000,27850,0,28300,27800,ASK,7800,0.0,1318,72272010000,2579100
28100,1673879295000000000,27850,0,28300,27800,ASK,2200,0.0,1318,72489240000,2586900
28100,1673879290000000000,27850,0,28300,27800,ASK,100,0.0,1316,72269225000,2579000
28100,1673879282000000000,27850,0,28300,27800,ASK,600,0.0,1315,72252515000,2578400
28100,1673879281000000000,27850,0,28300,27800,ASK,200,0.0,1314,72246945000,2578200
28100,1673879278000000000,27850,0,28300,27800,ASK,100,0.0,1313,72244160000,2578100
28100,1673879277000000000,27850,0,28300,27800,ASK,300,0.0,1312,72235805000,2577800
28100,1673879276000000000,27850,0,28300,27800,ASK,200,0.0,1311,72230235000,2577600
28100,1673879272000000000,27850,0,28300,27800,ASK,100,0.0,1310,72227450000,2577500
28100,1673879270000000000,27850,0,28300,27800,ASK,200,0.0,1309,72221880000,2577300
28100,1673879269000000000,27850,0,28300,27800,ASK,500,0.0,1308,72207955000,2576800
28100,1673879268000000000,27850,0,28300,27800,ASK,100,0.0,1307,72205170000,2576700
28100,1673879259000000000,27850,0,28300,27800,ASK,4800,0.0,1306,72071490000,2571900
28100,1673879259000000000,27850,0,28300,27800,ASK,2000,0.0,1306,71987940000,2568900
28100,1673879259000000000,27850,0,28300,27800,ASK,1000,0.0,1306,72043640000,2570900
28100,1673879259000000000,27850,0,28300,27800,ASK,1200,0.0,1303,71954520000,2567700
28100,1673879246000000000,27850,0,28300,27800,ASK,500,0.0,1302,71940595000,2567200
28100,1673879244000000000,27850,0,28300,27800,ASK,700,0.0,1301,71921100000,2566500
28100,1673879225000000000,27800,-50,28300,27800,BID,100,-0.18,1300,71918320000,2566400
28100,1673879212000000000,27850,0,28300,27800,ASK,100,0.0,1299,71915535000,2566300
28100,1673879210000000000,27850,0,28300,27800,BID,2000,0.0,1298,71859835000,2564300
28100,1673879202000000000,27850,0,28300,27800,BID,3000,0.0,1297,71776285000,2561300
28100,1673879192000000000,27900,50,28300,27800,ASK,800,0.18,1296,71753965000,2560500
28100,1673879188000000000,27900,50,28300,27800,ASK,500,0.18,1295,71700955000,2558600
28100,1673879188000000000,27900,50,28300,27800,ASK,400,0.18,1295,71661895000,2557200
28100,1673879188000000000,27900,50,28300,27800,ASK,1400,0.18,1295,71714905000,2559100
28100,1673879188000000000,27850,0,28300,27800,ASK,2700,0.0,1295,71558850000,2553500
28100,1673879188000000000,27900,50,28300,27800,ASK,1000,0.18,1295,71673055000,2557600
28100,1673879188000000000,27850,0,28300,27800,ASK,1000,0.0,1295,71634045000,2556200
28100,1673879186000000000,27800,-50,28300,27800,BID,100,-0.18,1289,71556070000,2553400
28100,1673879184000000000,27850,0,28300,27800,ASK,1000,0.0,1288,71528220000,2552400
28100,1673879173000000000,27850,0,28300,27800,ASK,2100,0.0,1287,71280355000,2543500
28100,1673879173000000000,27850,0,28300,27800,ASK,6300,0.0,1287,71352765000,2546100
28100,1673879173000000000,27850,0,28300,27800,ASK,500,0.0,1287,71338840000,2545600
28100,1673879173000000000,27800,-50,28300,27800,ASK,900,-0.18,1286,71249775000,2542400
28100,1673879173000000000,27800,-50,28300,27800,ASK,200,-0.18,1286,71274795000,2543300
28100,1673879172000000000,27800,-50,28300,27800,ASK,100,-0.18,1282,71246995000,2542300
28100,1673879171000000000,27800,-50,28300,27800,ASK,600,-0.18,1281,71230315000,2541700
28100,1673879171000000000,27800,-50,28300,27800,ASK,700,-0.18,1280,71210855000,2541000
28100,1673879169000000000,27800,-50,28300,27800,ASK,1000,-0.18,1279,71183055000,2540000
28100,1673879168000000000,27800,-50,28300,27800,ASK,100,-0.18,1278,71180275000,2539900
28100,1673879161000000000,27800,-50,28300,27800,ASK,200,-0.18,1277,71174715000,2539700
28100,1673879160000000000,27800,-50,28300,27800,ASK,600,-0.18,1276,71158035000,2539100
28100,1673879157000000000,27800,-50,28300,27800,ASK,200,-0.18,1275,71152475000,2538900
28100,1673879156000000000,27800,-50,28300,27800,ASK,1000,-0.18,1274,71124675000,2537900
28100,1673879143000000000,27800,-50,28300,27800,ASK,1000,-0.18,1273,71096875000,2536900
28100,1673879142000000000,27800,-50,28300,27800,BID,500,-0.18,1272,71082975000,2536400
28100,1673879142000000000,27800,-50,28300,27800,BID,1000,-0.18,1272,71055175000,2535400
28100,1673879142000000000,27800,-50,28300,27800,BID,1000,-0.18,1272,71027375000,2534400
28100,1673879142000000000,27800,-50,28300,27800,BID,5000,-0.18,1269,70888375000,2529400
28100,1673879142000000000,27800,-50,28300,27800,BID,500,-0.18,1269,70874475000,2528900
28100,1673879142000000000,27800,-50,28300,27800,BID,100,-0.18,1267,70816095000,2526800
28100,1673879142000000000,27800,-50,28300,27800,BID,2000,-0.18,1267,70818875000,2526900
