o,t,c,ch,h,l,mb,mv,ra,se,va,vo
22450,1673880319000000000,22400,0,22550,22200,UNKNOWN,334100,0.0,1933,102546265000,4586100
22450,1673879415000000000,22400,0,22550,22200,ASK,300,0.0,1932,102539545000,4585800
22450,1673879414000000000,22400,0,22550,22200,ASK,2000,0.0,1931,102494745000,4583800
22450,1673879414000000000,22400,0,22550,22200,ASK,500,0.0,1930,102483545000,4583300
22450,1673879409000000000,22400,0,22550,22200,ASK,5000,0.0,1929,102371545000,4578300
22450,1673879395000000000,22400,0,22550,22200,BID,800,0.0,1928,102353625000,4577500
22450,1673879395000000000,22400,0,22550,22200,BID,15400,0.0,1928,102008665000,4562100
22450,1673879394000000000,22450,50,22550,22200,ASK,14600,0.22,1926,101680895000,4547500
22450,1673879394000000000,22400,0,22550,22200,ASK,2000,0.0,1926,101627135000,4545100
22450,1673879394000000000,22400,0,22550,22200,ASK,200,0.0,1925,101671935000,4547100
22450,1673879394000000000,22400,0,22550,22200,ASK,2000,0.0,1926,101582335000,4543100
22450,1673879394000000000,22400,0,22550,22200,ASK,2000,0.0,1926,101537535000,4541100
22450,1673879394000000000,22400,0,22550,22200,ASK,200,0.0,1926,101676415000,4547300
22450,1673879394000000000,22400,0,22550,22200,ASK,200,0.0,1921,101533055000,4540900
22450,1673879394000000000,22400,0,22550,22200,ASK,5000,0.0,1920,101421055000,4535900
22450,1673879394000000000,22400,0,22550,22200,ASK,1000,0.0,1918,101398655000,4534900
22450,1673879394000000000,22400,0,22550,22200,ASK,1000,0.0,1917,101365055000,4533400
22450,1673879394000000000,22400,0,22550,22200,ASK,500,0.0,1917,101387455000,4534400
22450,1673879394000000000,22400,0,22550,22200,ASK,1000,0.0,1915,101342655000,4532400
22450,1673879394000000000,22400,0,22550,22200,ASK,500,0.0,1916,101331455000,4531900
22450,1673879394000000000,22400,0,22550,22200,ASK,1000,0.0,1915,101286655000,4529900
22450,1673879394000000000,22400,0,22550,22200,ASK,1000,0.0,1915,101309055000,4530900
22450,1673879394000000000,22400,0,22550,22200,ASK,100,0.0,1911,101262015000,4528800
22450,1673879394000000000,22400,0,22550,22200,ASK,1000,0.0,1911,101264255000,4528900
22450,1673879394000000000,22400,0,22550,22200,ASK,500,0.0,1911,101250815000,4528300
22450,1673879394000000000,22400,0,22550,22200,ASK,6200,0.0,1908,101111935000,4522100
22450,1673879386000000000,22400,0,22550,22200,ASK,2000,0.0,1907,101067135000,4520100
22450,1673879379000000000,22400,0,22550,22200,ASK,1800,0.0,1906,101026815000,4518300
22450,1673879379000000000,22400,0,22550,22200,ASK,100,0.0,1905,101024575000,4518200
22450,1673879379000000000,22400,0,22550,22200,ASK,28100,0.0,1905,100395135000,4490100
22450,1673879376000000000,22400,0,22550,22200,ASK,100,0.0,1903,100392895000,4490000
22450,1673879371000000000,22350,-50,22550,22200,BID,500,-0.22,1902,100381720000,4489500
22450,1673879370000000000,22400,0,22550,22200,ASK,1600,0.0,1901,100345880000,4487900
22450,1673879369000000000,22350,-50,22550,22200,BID,800,-0.22,1900,100328000000,4487100
22450,1673879327000000000,22400,0,22550,22200,ASK,100,0.0,1899,100325760000,4487000
22450,1673879309000000000,22350,-50,22550,22200,ASK,400,-0.22,1898,100316820000,4486600
22450,1673879306000000000,22350,-50,22550,22200,BID,100,-0.22,1897,100314585000,4486500
22450,1673879305000000000,22400,0,22550,22200,ASK,100,0.0,1896,100312345000,4486400
22450,1673879261000000000,22350,-50,22550,22200,ASK,200,-0.22,1895,100307875000,4486200
22450,1673879261000000000,22350,-50,22550,22200,ASK,300,-0.22,1894,100301170000,4485900
22450,1673879254000000000,22350,-50,22550,22200,ASK,100,-0.22,1893,100298935000,4485800
22450,1673879160000000000,22350,-50,22550,22200,BID,600,-0.22,1892,100285525000,4485200
22450,1673879143000000000,22350,-50,22550,22200,ASK,2500,-0.22,1891,100229650000,4482700
22450,1673879143000000000,22350,-50,22550,22200,ASK,49400,-0.22,1891,99114385000,4432800
22450,1673879143000000000,22350,-50,22550,22200,ASK,500,-0.22,1891,100218475000,4482200
22450,1673879131000000000,22350,-50,22550,22200,ASK,8700,-0.22,1888,98919940000,4424100
22450,1673879130000000000,22350,-50,22550,22200,ASK,5000,-0.22,1887,98808190000,4419100
22450,1673879130000000000,22350,-50,22550,22200,ASK,10000,-0.22,1886,98584690000,4409100
22450,1673879130000000000,22300,-100,22550,22200,ASK,2500,-0.45,1885,98473065000,4404100
22450,1673879130000000000,22300,-100,22550,22200,ASK,5000,-0.45,1885,98071665000,4386100
22450,1673879130000000000,22300,-100,22550,22200,ASK,5000,-0.45,1885,98183165000,4391100
22450,1673879130000000000,22300,-100,22550,22200,ASK,8000,-0.45,1885,98294665000,4396100
22450,1673879130000000000,22350,-50,22550,22200,ASK,1000,-0.22,1885,98528815000,4406600
22450,1673879130000000000,22350,-50,22550,22200,ASK,500,-0.22,1885,98573515000,4408600
22450,1673879130000000000,22350,-50,22550,22200,ASK,1000,-0.22,1885,98551165000,4407600
22450,1673879130000000000,22300,-100,22550,22200,ASK,1000,-0.45,1885,98049365000,4385100
22450,1673879130000000000,22300,-100,22550,22200,ASK,2300,-0.45,1877,97998075000,4382800
22450,1673879125000000000,22300,-100,22550,22200,ASK,400,-0.45,1876,97989155000,4382400
22450,1673879125000000000,22300,-100,22550,22200,ASK,300,-0.45,1876,97982465000,4382100
22450,1673879125000000000,22300,-100,22550,22200,ASK,300,-0.45,1874,97975775000,4381800
22450,1673879125000000000,22300,-100,22550,22200,ASK,19000,-0.45,1874,97552075000,4362800
22450,1673879115000000000,22300,-100,22550,22200,ASK,100,-0.45,1872,97549845000,4362700
22450,1673879115000000000,22300,-100,22550,22200,ASK,800,-0.45,1872,97532005000,4361900
22450,1673879112000000000,22300,-100,22550,22200,ASK,1000,-0.45,1870,97507475000,4360800
22450,1673879112000000000,22300,-100,22550,22200,ASK,100,-0.45,1870,97529775000,4361800
22450,1673879059000000000,22300,-100,22550,22200,ASK,1000,-0.45,1868,97485175000,4359800
22450,1673879041000000000,22250,-150,22550,22200,ASK,8000,-0.67,1867,97162550000,4345300
22450,1673879041000000000,22250,-150,22550,22200,ASK,5000,-0.67,1867,97373925000,4354800
22450,1673879041000000000,22250,-150,22550,22200,ASK,1500,-0.67,1867,97340550000,4353300
22450,1673879041000000000,22250,-150,22550,22200,ASK,6000,-0.67,1866,97029050000,4339300
22450,1673879041000000000,22250,-150,22550,22200,ASK,1500,-0.67,1867,96995675000,4337800
22450,1673879041000000000,22250,-150,22550,22200,ASK,600,-0.67,1867,96982325000,4337200
22450,1673879041000000000,22250,-150,22550,22200,ASK,2800,-0.67,1865,96920025000,4334400
22450,1673879041000000000,22250,-150,22550,22200,ASK,1700,-0.67,1861,96882200000,4332700
22450,1673879041000000000,22250,-150,22550,22200,ASK,400,-0.67,1861,96873300000,4332300
22450,1673879036000000000,22200,-200,22550,22200,BID,3900,-0.89,1859,96786720000,4328400
22450,1673879036000000000,22200,-200,22550,22200,BID,100,-0.89,1859,96762300000,4327300
22450,1673879036000000000,22200,-200,22550,22200,BID,1000,-0.89,1859,96764520000,4327400
22450,1673879036000000000,22200,-200,22550,22200,BID,200,-0.89,1856,96755640000,4327000
22450,1673879036000000000,22200,-200,22550,22200,BID,100,-0.89,1856,96760080000,4327200
22450,1673879036000000000,22200,-200,22550,22200,BID,2000,-0.89,1856,96711240000,4325000
22450,1673879036000000000,22200,-200,22550,22200,BID,100,-0.89,1853,96706800000,4324800
