o,t,c,ch,h,l,mb,mv,ra,se,va,vo
86100,1673880319000000000,85800,1000,86500,85200,UNKNOWN,74200,1.18,1177,64290120000,747800
86100,1673879363000000000,85200,400,86500,85200,BID,900,0.47,1176,64213440000,746900
86100,1673879357000000000,85200,400,86500,85200,BID,900,0.47,1175,64136760000,746000
86100,1673879353000000000,85200,400,86500,85200,BID,100,0.47,1174,64085640000,745400
86100,1673879353000000000,85200,400,86500,85200,BID,500,0.47,1174,64094160000,745500
86100,1673879353000000000,85700,900,86500,85200,BID,300,1.06,1172,64059930000,745100
86100,1673879343000000000,85800,1000,86500,85200,ASK,200,1.18,1171,64042770000,744900
86100,1673879341000000000,85800,1000,86500,85200,ASK,200,1.18,1170,64025610000,744700
86100,1673879341000000000,85800,1000,86500,85200,ASK,200,1.18,1169,64008450000,744500
86100,1673879341000000000,85800,1000,86500,85200,ASK,200,1.18,1168,63991290000,744300
86100,1673879304000000000,85200,400,86500,85200,BID,1900,0.47,1167,63829410000,742400
86100,1673879304000000000,85700,900,86500,85200,BID,3000,1.06,1167,63563740000,739300
86100,1673879304000000000,85700,900,86500,85200,BID,100,1.06,1167,63820840000,742300
86100,1673879290000000000,85900,1100,86500,85200,ASK,100,1.3,1164,63555150000,739200
86100,1673879281000000000,85900,1100,86500,85200,ASK,100,1.3,1163,63546560000,739100
86100,1673879239000000000,85900,1100,86500,85200,ASK,100,1.3,1162,63537970000,739000
86100,1673879231000000000,85900,1100,86500,85200,ASK,100,1.3,1161,63529380000,738900
86100,1673879221000000000,85900,1100,86500,85200,ASK,100,1.3,1160,63520790000,738800
86100,1673879195000000000,85900,1100,86500,85200,ASK,100,1.3,1159,63512200000,738700
86100,1673879188000000000,85900,1100,86500,85200,ASK,100,1.3,1158,63503610000,738600
86100,1673879174000000000,85900,1100,86500,85200,ASK,900,1.3,1157,63426300000,737700
86100,1673879174000000000,85900,1100,86500,85200,ASK,100,1.3,1157,63417710000,737600
86100,1673879174000000000,85900,1100,86500,85200,ASK,2700,1.3,1157,63185780000,734900
