o,t,c,ch,h,l,mb,mv,ra,se,va,vo
52000,1673880318000000000,52000,500,52000,51100,UNKNOWN,230200,0.97,822,42237510000,816800
52000,1673879411000000000,51700,200,52000,51100,BID,200,0.39,821,42227170000,816600
52000,1673879394000000000,51700,200,52000,51100,BID,700,0.39,820,42190980000,815900
52000,1673879379000000000,51700,200,52000,51100,BID,1000,0.39,819,42139280000,814900
52000,1673879369000000000,51700,200,52000,51100,ASK,200,0.39,818,42128940000,814700
52000,1673879369000000000,51700,200,52000,51100,ASK,100,0.39,818,42123770000,814600
52000,1673879369000000000,51700,200,52000,51100,ASK,700,0.39,818,42077240000,813700
52000,1673879369000000000,51700,200,52000,51100,ASK,4600,0.39,818,41839420000,809100
52000,1673879369000000000,51700,200,52000,51100,ASK,200,0.39,818,42113430000,814400
52000,1673879362000000000,51300,-200,52000,51100,BID,700,-0.39,813,41803510000,808400
52000,1673879362000000000,51500,0,52000,51100,BID,1200,0.0,813,41741710000,807200
52000,1673879356000000000,51500,0,52000,51100,BID,1900,0.0,811,41643860000,805300
52000,1673879352000000000,51500,0,52000,51100,BID,1900,0.0,810,41546010000,803400
52000,1673879327000000000,51700,200,52000,51100,BID,100,0.39,809,41540840000,803300
52000,1673879327000000000,51700,200,52000,51100,BID,5000,0.39,809,41282340000,798300
52000,1673879319000000000,51800,300,52000,51100,ASK,3300,0.58,807,41111400000,795000
52000,1673879319000000000,51800,300,52000,51100,ASK,1000,0.58,807,41023340000,793300
52000,1673879319000000000,51800,300,52000,51100,ASK,100,0.58,807,41106220000,794900
52000,1673879319000000000,51800,300,52000,51100,ASK,600,0.58,807,41075140000,794300
52000,1673879318000000000,51700,200,52000,51100,BID,10000,0.39,803,40454640000,782300
52000,1673879318000000000,51700,200,52000,51100,BID,1000,0.39,803,40971640000,792300
52000,1673879318000000000,51700,200,52000,51100,BID,600,0.39,803,40423620000,781700
52000,1673879283000000000,51700,200,52000,51100,BID,200,0.39,800,40413280000,781500
52000,1673879202000000000,51700,200,52000,51100,BID,100,0.39,799,40408110000,781400
52000,1673879147000000000,51800,300,52000,51100,ASK,2000,0.58,798,40304510000,779400
