o,t,c,ch,h,l,mb,mv,ra,se,va,vo
55300,1673880318000000000,55000,0,55300,54400,UNKNOWN,311700,0.0,1469,50036200000,912100
55300,1673879385000000000,54400,-600,55300,54400,BID,300,-1.09,1468,49981800000,911100
55300,1673879385000000000,54500,-500,55300,54400,BID,200,-0.91,1468,49970900000,910900
55300,1673879385000000000,54500,-500,55300,54400,BID,100,-0.91,1468,49965450000,910800
55300,1673879385000000000,54400,-600,55300,54400,BID,700,-1.09,1468,49998120000,911400
55300,1673879385000000000,54500,-500,55300,54400,BID,100,-0.91,1468,49960000000,910700
55300,1673879385000000000,54500,-500,55300,54400,BID,1800,-0.91,1463,49861900000,908900
55300,1673879385000000000,54500,-500,55300,54400,BID,100,-0.91,1463,49856450000,908800
55300,1673879385000000000,54500,-500,55300,54400,BID,100,-0.91,1463,49834650000,908400
55300,1673879385000000000,54500,-500,55300,54400,BID,300,-0.91,1463,49752900000,906900
55300,1673879385000000000,54500,-500,55300,54400,BID,300,-0.91,1463,49840100000,908500
55300,1673879385000000000,54500,-500,55300,54400,BID,100,-0.91,1463,49747450000,906800
55300,1673879385000000000,54500,-500,55300,54400,BID,200,-0.91,1463,49769250000,907200
55300,1673879385000000000,54500,-500,55300,54400,BID,1000,-0.91,1463,49780150000,907400
55300,1673879362000000000,54500,-500,55300,54400,BID,1700,-0.91,1455,49654800000,905100
55300,1673879358000000000,54600,-400,55300,54400,ASK,100,-0.73,1454,49649340000,905000
55300,1673879356000000000,54500,-500,55300,54400,BID,400,-0.91,1453,49556690000,903300
55300,1673879356000000000,54500,-500,55300,54400,BID,1200,-0.91,1453,49583940000,903800
55300,1673879356000000000,54500,-500,55300,54400,BID,100,-0.91,1453,49578490000,903700
55300,1673879352000000000,54600,-400,55300,54400,ASK,100,-0.73,1450,49551230000,903200
55300,1673879352000000000,54600,-400,55300,54400,ASK,700,-0.73,1450,49513010000,902500
55300,1673879315000000000,54500,-500,55300,54400,BID,400,-0.91,1448,49404010000,900500
55300,1673879315000000000,54500,-500,55300,54400,BID,1600,-0.91,1448,49425810000,900900
55300,1673879296000000000,54500,-500,55300,54400,BID,100,-0.91,1446,49398560000,900400
55300,1673879296000000000,54500,-500,55300,54400,BID,700,-0.91,1446,49360410000,899700
55300,1673879282000000000,54500,-500,55300,54400,ASK,1700,-0.91,1444,49267760000,898000
55300,1673879282000000000,54500,-500,55300,54400,ASK,600,-0.91,1444,49235060000,897400
55300,1673879279000000000,54500,-500,55300,54400,ASK,500,-0.91,1442,49207810000,896900
55300,1673879277000000000,54500,-500,55300,54400,ASK,400,-0.91,1441,49186010000,896500
55300,1673879275000000000,54500,-500,55300,54400,ASK,500,-0.91,1440,49158760000,896000
55300,1673879272000000000,54500,-500,55300,54400,ASK,200,-0.91,1439,49147860000,895800
55300,1673879264000000000,54500,-500,55300,54400,ASK,800,-0.91,1438,49093360000,894800
55300,1673879264000000000,54500,-500,55300,54400,ASK,2600,-0.91,1438,48951660000,892200
55300,1673879264000000000,54500,-500,55300,54400,ASK,200,-0.91,1438,49136960000,895600
55300,1673879264000000000,54500,-500,55300,54400,ASK,3000,-0.91,1438,48788160000,889200
55300,1673879246000000000,54500,-500,55300,54400,ASK,200,-0.91,1434,48777260000,889000
55300,1673879237000000000,54500,-500,55300,54400,ASK,300,-0.91,1433,48760910000,888700
55300,1673879234000000000,54500,-500,55300,54400,ASK,300,-0.91,1432,48744560000,888400
55300,1673879230000000000,54500,-500,55300,54400,ASK,100,-0.91,1431,48739110000,888300
55300,1673879227000000000,54500,-500,55300,54400,ASK,200,-0.91,1430,48728210000,888100
55300,1673879223000000000,54500,-500,55300,54400,ASK,200,-0.91,1429,48717310000,887900
55300,1673879210000000000,54500,-500,55300,54400,ASK,100,-0.91,1428,48711860000,887800
55300,1673879202000000000,54500,-500,55300,54400,ASK,100,-0.91,1427,48706410000,887700
