o,t,c,ch,h,l,mb,mv,ra,se,va,vo
109900,1673880320000000000,107700,-2100,110100,107700,UNKNOWN,47900,-1.91,453,20663250000,188200
109900,1673879380000000000,109200,-600,110100,109000,ASK,200,-0.55,452,20641410000,188000
109900,1673879363000000000,109000,-800,110100,109000,BID,300,-0.73,451,20608710000,187700
109900,1673879363000000000,109100,-700,110100,109000,BID,200,-0.64,451,20586890000,187500
109900,1673879356000000000,109200,-600,110100,109000,BID,300,-0.55,449,20554130000,187200
109900,1673879351000000000,109200,-600,110100,109000,BID,500,-0.55,448,20499530000,186700
109900,1673879111000000000,110000,200,110100,109000,ASK,100,0.18,447,20488530000,186600
109900,1673879043000000000,110100,300,110100,109000,ASK,600,0.27,446,20422470000,186000
109900,1673879043000000000,110000,200,110100,109000,ASK,500,0.18,445,20367470000,185500
109900,1673879036000000000,110000,200,110100,109000,BID,900,0.18,444,20268470000,184600
109900,1673879035000000000,110000,200,110100,109000,ASK,100,0.18,443,20257470000,184500
109900,1673879035000000000,110000,200,110100,109000,ASK,100,0.18,443,20246470000,184400
109900,1673879035000000000,110000,200,110100,109000,ASK,600,0.18,441,20147470000,183500
109900,1673879035000000000,110000,200,110100,109000,ASK,300,0.18,441,20213470000,184100
109900,1673879031000000000,110000,200,110100,109000,ASK,100,0.18,439,20136470000,183400
109900,1673879031000000000,110000,200,110100,109000,ASK,400,0.18,438,20092470000,183000
109900,1673879016000000000,110000,200,110100,109000,ASK,1000,0.18,437,19938470000,181600
109900,1673879016000000000,110000,200,110100,109000,ASK,400,0.18,437,20048470000,182600
109900,1673879015000000000,110000,200,110100,109000,ASK,500,0.18,435,19872470000,181000
109900,1673879015000000000,110000,200,110100,109000,ASK,100,0.18,435,19927470000,181500
109900,1673878990000000000,109900,100,110100,109000,ASK,500,0.09,433,19806530000,180400
109900,1673878990000000000,109900,100,110100,109000,ASK,300,0.09,433,19773560000,180100
109900,1673878990000000000,109900,100,110100,109000,ASK,100,0.09,433,19861480000,180900
109900,1673878978000000000,109900,100,110100,109000,ASK,100,0.09,430,19740590000,179800
109900,1673878978000000000,109900,100,110100,109000,ASK,200,0.09,430,19751580000,179900
109900,1673878978000000000,109900,100,110100,109000,ASK,200,0.09,430,19718610000,179600
109900,1673878951000000000,109900,100,110100,109000,ASK,100,0.09,427,19707620000,179500
