o,t,c,ch,h,l,mb,mv,ra,se,va,vo
80700,1673880319000000000,80600,600,81100,80100,UNKNOWN,123400,0.75,1869,106973510000,1325600
80700,1673879382000000000,80300,300,81100,80100,BID,1700,0.38,1868,106732610000,1322600
80700,1673879382000000000,80300,300,81100,80100,BID,1300,0.38,1868,106869120000,1324300
80700,1673879377000000000,80400,400,81100,80100,ASK,100,0.5,1866,106724570000,1322500
80700,1673879367000000000,80400,400,81100,80100,BID,200,0.5,1865,106708490000,1322300
80700,1673879348000000000,80400,400,81100,80100,ASK,300,0.5,1864,106603970000,1321000
80700,1673879348000000000,80400,400,81100,80100,ASK,500,0.5,1864,106668290000,1321800
80700,1673879348000000000,80400,400,81100,80100,ASK,500,0.5,1864,106628090000,1321300
80700,1673879347000000000,80400,400,81100,80100,ASK,500,0.5,1861,106563770000,1320500
80700,1673879341000000000,80400,400,81100,80100,ASK,200,0.5,1860,106547690000,1320300
80700,1673879330000000000,80300,300,81100,80100,BID,100,0.38,1859,106539660000,1320200
80700,1673879330000000000,80400,400,81100,80100,ASK,1000,0.5,1858,106459260000,1319200
80700,1673879319000000000,80300,300,81100,80100,BID,200,0.38,1857,106443200000,1319000
80700,1673879299000000000,80300,300,81100,80100,BID,100,0.38,1856,106435170000,1318900
80700,1673879298000000000,80400,400,81100,80100,ASK,100,0.5,1855,106386930000,1318300
80700,1673879298000000000,80400,400,81100,80100,ASK,500,0.5,1855,106394970000,1318400
80700,1673879298000000000,80400,400,81100,80100,ASK,900,0.5,1855,106314570000,1317400
80700,1673879295000000000,80400,400,81100,80100,ASK,100,0.5,1852,106306530000,1317300
80700,1673879289000000000,80400,400,81100,80100,ASK,500,0.5,1851,106266330000,1316800
80700,1673879283000000000,80300,300,81100,80100,BID,100,0.38,1850,106258300000,1316700
80700,1673879281000000000,80400,400,81100,80100,ASK,100,0.5,1849,106250260000,1316600
80700,1673879260000000000,80300,300,81100,80100,BID,100,0.38,1848,106242230000,1316500
80700,1673879259000000000,80400,400,81100,80100,ASK,800,0.5,1847,106161830000,1315500
80700,1673879259000000000,80400,400,81100,80100,ASK,200,0.5,1847,106226150000,1316300
80700,1673879252000000000,80300,300,81100,80100,BID,100,0.38,1845,106153800000,1315400
80700,1673879251000000000,80400,400,81100,80100,ASK,1500,0.5,1844,106033200000,1313900
80700,1673879238000000000,80300,300,81100,80100,BID,100,0.38,1843,106025170000,1313800
80700,1673879221000000000,80400,400,81100,80100,ASK,600,0.5,1842,105976930000,1313200
80700,1673879217000000000,80400,400,81100,80100,ASK,500,0.5,1841,105936730000,1312700
80700,1673879214000000000,80400,400,81100,80100,ASK,100,0.5,1840,105928690000,1312600
80700,1673879209000000000,80400,400,81100,80100,ASK,100,0.5,1839,105920650000,1312500
80700,1673879190000000000,80300,300,81100,80100,BID,300,0.38,1838,105880480000,1312000
80700,1673879190000000000,80400,400,81100,80100,ASK,200,0.5,1838,105904570000,1312300
80700,1673879179000000000,80400,400,81100,80100,ASK,100,0.5,1836,105872440000,1311900
80700,1673879179000000000,80400,400,81100,80100,ASK,100,0.5,1836,105864400000,1311800
80700,1673879157000000000,80400,400,81100,80100,ASK,300,0.5,1834,105840280000,1311500
80700,1673879135000000000,80300,300,81100,80100,BID,100,0.38,1833,105832250000,1311400
80700,1673879134000000000,80400,400,81100,80100,ASK,200,0.5,1832,105816170000,1311200
80700,1673879134000000000,80400,400,81100,80100,ASK,800,0.5,1832,105751850000,1310400
80700,1673879124000000000,80400,400,81100,80100,ASK,100,0.5,1830,105727730000,1310100
80700,1673879124000000000,80400,400,81100,80100,ASK,200,0.5,1830,105735770000,1310200
80700,1673879094000000000,80400,400,81100,80100,ASK,200,0.5,1828,105711650000,1309900
80700,1673879085000000000,80300,300,81100,80100,BID,200,0.38,1827,105695590000,1309700
80700,1673879083000000000,80400,400,81100,80100,ASK,400,0.5,1826,105534790000,1307700
80700,1673879083000000000,80400,400,81100,80100,ASK,1600,0.5,1826,105566950000,1308100
80700,1673879077000000000,80400,400,81100,80100,ASK,100,0.5,1824,105526750000,1307600
80700,1673879077000000000,80400,400,81100,80100,ASK,400,0.5,1824,105494590000,1307200
80700,1673879076000000000,80400,400,81100,80100,ASK,200,0.5,1822,105478510000,1307000
80700,1673879071000000000,80400,400,81100,80100,ASK,200,0.5,1821,105462430000,1306800
80700,1673879063000000000,80400,400,81100,80100,ASK,200,0.5,1820,105446350000,1306600
80700,1673879058000000000,80300,300,81100,80100,BID,300,0.38,1819,105422260000,1306300
80700,1673879058000000000,80300,300,81100,80100,BID,1400,0.38,1818,105309840000,1304900
80700,1673879058000000000,80300,300,81100,80100,BID,1000,0.38,1818,105221510000,1303800
80700,1673879058000000000,80300,300,81100,80100,BID,100,0.38,1818,105301810000,1304800
80700,1673879058000000000,80300,300,81100,80100,BID,100,0.38,1817,105213480000,1303700
80700,1673879058000000000,80300,300,81100,80100,BID,1100,0.38,1817,105125150000,1302600
80700,1673879035000000000,80300,300,81100,80100,BID,100,0.38,1813,105117120000,1302500
80700,1673879035000000000,80400,400,81100,80100,BID,500,0.5,1813,105076920000,1302000
80700,1673879034000000000,80500,500,81100,80100,ASK,100,0.63,1811,104698570000,1297300
80700,1673879035000000000,80500,500,81100,80100,ASK,400,0.63,1811,105044720000,1301600
80700,1673879034000000000,80500,500,81100,80100,ASK,2000,0.63,1810,104714670000,1297500
80700,1673879035000000000,80500,500,81100,80100,ASK,100,0.63,1811,105036670000,1301500
80700,1673879034000000000,80500,500,81100,80100,ASK,100,0.63,1811,104706620000,1297400
80700,1673879035000000000,80500,500,81100,80100,ASK,2000,0.63,1811,104875670000,1299500
80700,1673879034000000000,80500,500,81100,80100,ASK,2100,0.63,1809,104529520000,1295200
80700,1673879030000000000,80500,500,81100,80100,ASK,300,0.63,1804,104505370000,1294900
80700,1673879028000000000,80400,400,81100,80100,BID,400,0.5,1803,104473210000,1294500
80700,1673879022000000000,80400,400,81100,80100,BID,100,0.5,1802,104465170000,1294400
80700,1673879021000000000,80500,500,81100,80100,ASK,1500,0.63,1801,104344420000,1292900
80700,1673879017000000000,80400,400,81100,80100,BID,100,0.5,1800,104336380000,1292800
80700,1673879016000000000,80400,400,81100,80100,BID,1000,0.5,1799,104255980000,1291800
80700,1673879015000000000,80500,500,81100,80100,ASK,6000,0.63,1798,103772980000,1285800
80700,1673879015000000000,80500,500,81100,80100,ASK,3700,0.63,1798,103450980000,1281800
80700,1673879015000000000,80500,500,81100,80100,ASK,300,0.63,1798,103748830000,1285500
80700,1673879000000000000,80400,400,81100,80100,BID,200,0.5,1795,103434900000,1281600
80700,1673879000000000000,80400,400,81100,80100,BID,2500,0.5,1794,103233900000,1279100
80700,1673878999000000000,80500,500,81100,80100,ASK,300,0.63,1793,103209750000,1278800
80700,1673878990000000000,80400,400,81100,80100,ASK,900,0.5,1792,103137390000,1277900
80700,1673878986000000000,80300,300,81100,80100,BID,100,0.38,1791,103129360000,1277800
