o,t,c,ch,h,l,mb,mv,ra,se,va,vo
18850,1673880318000000000,19400,700,19500,18550,UNKNOWN,3907700,3.74,5162,412134950000,21793200
18850,1673879414000000000,19300,600,19500,18550,ASK,800,3.21,5161,412119510000,21792400
18850,1673879414000000000,19300,600,19500,18550,ASK,300,3.21,5161,412113720000,21792100
18850,1673879414000000000,19300,600,19500,18550,ASK,400,3.21,5159,412106000000,21791700
18850,1673879414000000000,19300,600,19500,18550,ASK,1600,3.21,5159,412075120000,21790100
18850,1673879413000000000,19300,600,19500,18550,ASK,1500,3.21,5157,412046170000,21788600
18850,1673879413000000000,19150,450,19500,18550,BID,1000,2.41,5157,412027020000,21787600
18850,1673879412000000000,19300,600,19500,18550,ASK,100,3.21,5155,412025090000,21787500
18850,1673879412000000000,19300,600,19500,18550,ASK,200,3.21,5154,412021230000,21787300
18850,1673879412000000000,19300,600,19500,18550,ASK,1600,3.21,5153,411990350000,21785700
18850,1673879412000000000,19300,600,19500,18550,ASK,200,3.21,5153,411986490000,21785500
18850,1673879412000000000,19300,600,19500,18550,ASK,17700,3.21,5151,411644880000,21767800
18850,1673879412000000000,19300,600,19500,18550,ASK,500,3.21,5151,411635230000,21767300
18850,1673879409000000000,19350,650,19500,18550,ASK,2900,3.48,5149,411579115000,21764400
18850,1673879409000000000,19300,600,19500,18550,ASK,300,3.21,5149,411573325000,21764100
18850,1673879409000000000,19300,600,19500,18550,ASK,1500,3.21,5149,411544375000,21762600
18850,1673879409000000000,19300,600,19500,18550,ASK,1000,3.21,5149,411525075000,21761600
18850,1673879409000000000,19250,550,19500,18550,ASK,1000,2.94,5145,411422885000,21756300
18850,1673879409000000000,19300,600,19500,18550,ASK,100,3.21,5145,411461385000,21758300
18850,1673879409000000000,19300,600,19500,18550,ASK,1000,3.21,5145,411463315000,21758400
18850,1673879409000000000,19300,600,19500,18550,ASK,200,3.21,5145,411521215000,21761400
18850,1673879409000000000,19300,600,19500,18550,ASK,2000,3.21,5145,411482615000,21759400
18850,1673879409000000000,19250,550,19500,18550,ASK,1000,2.94,5145,411442135000,21757300
18850,1673879409000000000,19100,400,19500,18550,BID,500,2.14,5139,411413335000,21755800
18850,1673879409000000000,19150,450,19500,18550,BID,500,2.41,5139,411403760000,21755300
18850,1673879408000000000,19300,600,19500,18550,ASK,500,3.21,5137,411394110000,21754800
18850,1673879408000000000,19300,600,19500,18550,BID,9400,3.21,5136,411212690000,21745400
18850,1673879407000000000,19300,600,19500,18550,ASK,600,3.21,5135,411201110000,21744800
18850,1673879407000000000,19300,600,19500,18550,BID,4400,3.21,5134,411116190000,21740400
18850,1673879406000000000,19300,600,19500,18550,BID,200,3.21,5133,411106540000,21739900
18850,1673879406000000000,19300,600,19500,18550,BID,300,3.21,5133,411110400000,21740100
18850,1673879406000000000,19300,600,19500,18550,BID,10000,3.21,5131,410913540000,21729900
18850,1673879405000000000,19300,600,19500,18550,BID,3000,3.21,5130,410855640000,21726900
18850,1673879405000000000,19300,600,19500,18550,ASK,300,3.21,5129,410849850000,21726600
18850,1673879405000000000,19250,550,19500,18550,ASK,1800,2.94,5129,410815200000,21724800
18850,1673879403000000000,19350,650,19500,18550,ASK,3800,3.48,5127,410741670000,21721000
18850,1673879403000000000,19350,650,19500,18550,ASK,5000,3.48,5127,410644920000,21716000
18850,1673879403000000000,19350,650,19500,18550,ASK,5000,3.48,5125,410548170000,21711000
18850,1673879403000000000,19350,650,19500,18550,ASK,1000,3.48,5124,410528820000,21710000
18850,1673879403000000000,19350,650,19500,18550,ASK,1000,3.48,5124,410490120000,21708000
18850,1673879403000000000,19350,650,19500,18550,ASK,1000,3.48,5124,410509470000,21709000
18850,1673879403000000000,19350,650,19500,18550,ASK,11800,3.48,5124,410126340000,21689200
18850,1673879403000000000,19350,650,19500,18550,ASK,7000,3.48,5124,410354670000,21701000
18850,1673879403000000000,19300,600,19500,18550,ASK,200,3.21,5119,410083880000,21687000
18850,1673879403000000000,19300,600,19500,18550,ASK,1000,3.21,5119,410087740000,21687200
18850,1673879403000000000,19300,600,19500,18550,ASK,1000,3.21,5119,410107040000,21688200
18850,1673879403000000000,19300,600,19500,18550,ASK,5000,3.21,5117,409987380000,21682000
18850,1673879403000000000,19300,600,19500,18550,ASK,1000,3.21,5117,409968080000,21681000
18850,1673879403000000000,19300,600,19500,18550,ASK,2000,3.21,5117,409717180000,21668000
18850,1673879403000000000,19300,600,19500,18550,ASK,100,3.21,5117,409715250000,21667900
18850,1673879403000000000,19300,600,19500,18550,ASK,1000,3.21,5117,409695950000,21666900
18850,1673879403000000000,19300,600,19500,18550,ASK,10000,3.21,5117,409775080000,21671000
18850,1673879403000000000,19300,600,19500,18550,ASK,1000,3.21,5117,409755780000,21670000
18850,1673879403000000000,19300,600,19500,18550,ASK,6400,3.21,5110,409533830000,21658500
18850,1673879403000000000,19300,600,19500,18550,ASK,2000,3.21,5110,409657350000,21664900
18850,1673879402000000000,19300,600,19500,18550,ASK,200,3.21,5108,409529970000,21658300
18850,1673879402000000000,19300,600,19500,18550,ASK,1400,3.21,5107,409502950000,21656900
18850,1673879402000000000,19300,600,19500,18550,ASK,1500,3.21,5107,409474000000,21655400
18850,1673879402000000000,19300,600,19500,18550,ASK,500,3.21,5107,409458560000,21654600
18850,1673879402000000000,19300,600,19500,18550,ASK,200,3.21,5107,409470140000,21655200
18850,1673879402000000000,19300,600,19500,18550,ASK,1300,3.21,5107,409433470000,21653300
18850,1673879402000000000,19300,600,19500,18550,ASK,100,3.21,5107,409468210000,21655100
18850,1673879402000000000,19300,600,19500,18550,ASK,300,3.21,5101,409414170000,21652300
18850,1673879402000000000,19300,600,19500,18550,ASK,5000,3.21,5101,409317670000,21647300
18850,1673879402000000000,19300,600,19500,18550,ASK,500,3.21,5101,409267490000,21644700
18850,1673879402000000000,19300,600,19500,18550,ASK,700,3.21,5101,409419960000,21652600
18850,1673879402000000000,19300,600,19500,18550,ASK,2000,3.21,5101,409277140000,21645200
18850,1673879402000000000,19300,600,19500,18550,ASK,1000,3.21,5101,409248190000,21643700
18850,1673879402000000000,19300,600,19500,18550,ASK,100,3.21,5101,409315740000,21647200
18850,1673879402000000000,19300,600,19500,18550,ASK,400,3.21,5101,409240470000,21643300
18850,1673879402000000000,19300,600,19500,18550,ASK,1500,3.21,5093,409211520000,21641800
18850,1673879401000000000,19300,600,19500,18550,ASK,400,3.21,5092,409203800000,21641400
18850,1673879401000000000,19300,600,19500,18550,ASK,2000,3.21,5091,409165200000,21639400
18850,1673879400000000000,19300,600,19500,18550,ASK,1000,3.21,5090,409145900000,21638400
