o,t,c,ch,h,l,mb,mv,ra,se,va,vo
28800,1673880320000000000,28600,-100,29000,28250,UNKNOWN,135700,-0.35,1017,18156275000,634500
28800,1673879414000000000,28300,-400,29000,28250,ASK,300,-1.39,1016,18147785000,634200
28800,1673879408000000000,28300,-400,29000,28250,ASK,500,-1.39,1015,18133635000,633700
28800,1673879403000000000,28300,-400,29000,28250,BID,100,-1.39,1014,18122315000,633300
28800,1673879403000000000,28300,-400,29000,28250,BID,200,-1.39,1014,18127975000,633500
28800,1673879403000000000,28300,-400,29000,28250,BID,100,-1.39,1014,18125145000,633400
28800,1673879403000000000,28300,-400,29000,28250,BID,400,-1.39,1014,18110995000,632900
28800,1673879380000000000,28300,-400,29000,28250,BID,100,-1.39,1010,18108165000,632800
28800,1673879380000000000,28300,-400,29000,28250,BID,100,-1.39,1010,18082695000,631900
28800,1673879380000000000,28300,-400,29000,28250,BID,300,-1.39,1010,18085525000,632000
28800,1673879380000000000,28300,-400,29000,28250,BID,500,-1.39,1010,18094015000,632300
28800,1673879376000000000,28300,-400,29000,28250,BID,2000,-1.39,1006,18026095000,629900
28800,1673879365000000000,28300,-400,29000,28250,BID,1000,-1.39,1005,17997795000,628900
28800,1673879362000000000,28300,-400,29000,28250,BID,200,-1.39,1004,17963835000,627700
28800,1673879362000000000,28300,-400,29000,28250,BID,1000,-1.39,1004,17969495000,627900
28800,1673879362000000000,28300,-400,29000,28250,BID,400,-1.39,1004,17952515000,627300
28800,1673879356000000000,28300,-400,29000,28250,BID,1600,-1.39,1001,17907235000,625700
28800,1673879354000000000,28500,-200,29000,28250,ASK,200,-0.7,1000,17901535000,625500
28800,1673879353000000000,28300,-400,29000,28250,BID,1600,-1.39,999,17856255000,623900
28800,1673879346000000000,28500,-200,29000,28250,ASK,100,-0.7,998,17853405000,623800
28800,1673879341000000000,28500,-200,29000,28250,ASK,100,-0.7,997,17850555000,623700
28800,1673879313000000000,28500,-200,29000,28250,ASK,100,-0.7,996,17847705000,623600
28800,1673879286000000000,28500,-200,29000,28250,ASK,100,-0.7,995,17844855000,623500
28800,1673879267000000000,28350,-350,29000,28250,BID,500,-1.22,994,17816530000,622500
28800,1673879267000000000,28300,-400,29000,28250,BID,500,-1.39,994,17830705000,623000
28800,1673879258000000000,28500,-200,29000,28250,ASK,100,-0.7,992,17813680000,622400
28800,1673879253000000000,28300,-400,29000,28250,BID,900,-1.39,991,17788210000,621500
28800,1673879253000000000,28350,-350,29000,28250,BID,100,-1.22,991,17782545000,621300
28800,1673879253000000000,28350,-350,29000,28250,BID,100,-1.22,991,17765535000,620700
28800,1673879253000000000,28300,-400,29000,28250,BID,100,-1.39,991,17785380000,621400
28800,1673879253000000000,28350,-350,29000,28250,BID,500,-1.22,991,17768370000,620800
28800,1673879238000000000,28500,-200,29000,28250,ASK,600,-0.7,987,17748435000,620100
28800,1673879238000000000,28500,-200,29000,28250,ASK,3400,-0.7,987,17651535000,616700
